id_oferta,id_empresa,titulo,empresa,descripcion,confidencial,localizacion,modalidad_trabajo,tipo_trabajo,fecha_publicacion_original,fecha_publicacion_iso,fecha_publicacion_datetime,fecha_hora_publicacion_original,fecha_hora_publicacion_iso,fecha_hora_publicacion_datetime,fecha_modificado_original,fecha_modificado_iso,fecha_modificado_datetime,cantidad_vacantes,apto_discapacitado,id_area,id_subarea,id_pais,logo_url,empresa_validada,empresa_pro,promedio_empresa,plan_publicacion_id,plan_publicacion_nombre,portal,tipo_aviso,tiene_preguntas,salario_obligatorio,alta_revision_perfiles,guardado,gptw_url,url_oferta,scrapeado_en
1118032035,,Jefe de confección de Indumentaria,Confidencial,"🔷 ¡Buscamos Jefe/a de Confección de Indumentaria! Reconocida empresa textil nacional, se encuentra en la búsqueda de un/a Jefe/a de Confección para liderar línea de producción de jeans.👕 Responsabilidades principales: Coordinar y supervisar el equipo de confección, garantizando la calidad y eficiencia de los procesos. Optimizar recursos, tiempos y métodos de trabajo. Implementar mejoras continuas en los procesos productivos. Asegurar el cumplimiento de los plazos y estándares de calidad. Promover un ambiente de trabajo colaborativo y comprometido.💡 Requisitos: Experiencia mínima de 3 años en posiciones similares (industria textil o confección). Conocimiento integral de procesos de confección, preferentemente en líneas modulares o celdas de producción. Manejo de maquinaria convencional y automática. Lectura e interpretación de fichas técnicas. • Liderazgo, comunicación y organización. Capacidad para gestionar equipos de más de 70 personas.📍 Lugar de trabajo:Grand Bourg🕕 Horario: Lunes a viernes de 6 a 15 hs🍽️ Beneficios: Comedor en planta + descuentos en Sport Club📩 Si te apasiona la confección y querés ser parte de una marca con historia en la industria, esta puede ser tu oportunidad.",True,"Grand Bourg, Buenos Aires",Presencial,Full-time,04-11-2025,2025-11-04,2025-11-04T00:00:00-03:00,04-11-2025 10:35:52,,,04-11-2025 10:35:52,,,1,False,16,32,1,,,,,1020,Aviso Talento,bumeran,talento,False,False,False,,,https://www.bumeran.com.ar/empleos/1118032035.html,2025-11-04T11:21:23.491112
1118032030,13496377.0,Analista contable SR,AVN - Nordelta,"Somos un equipo de colaboradores que tenemos como prioridad brindar servicios de excelencia a los habitantes de la ciudad de Nordelta. Gestionamos una Ciudad integrada por más de 28 barrios, incluyendo 82 consorcios, donde viven unas 45.000 personas.Nordelta cuenta con más de 10.000 viviendas y oficinas, cinco colegios, centro médico, un amplio polo comercial, áreas náuticas, paseos ribereños y un completo club deportivo. El Centro Cívico alberga dos templos religiosos, un nuevo sanatorio en construcción y será la sede de otro colegio.Nuestra gestión diaria apunta al desarrollo integral de la comunidad con compromiso, calidad, integridad y eficiencia. Mejoramos e innovamos los procesos en forma continua para posicionar a Nordelta como una Ciudad modelo en seguridad, orden y sustentabilidad. Desde Asociacion vecinal Nordelta nos encontramos en la búsqueda de un/a Analista Contable Sr. para brindar soporte durante el proceso de cierre contable al area Contabilidad - Administracion. Duración: Contrato temporal por 6 mesesResponsabilidades principales: Colaborar en el ejercicio de cierre contable y armado de reportes. Realizar análisis y conciliaciones de cuentas. Elaboración, control y documentación de papeles de trabajo correspondientes al proceso de auditoría externa. Coordinación y seguimiento de las tareas vinculadas a la auditoría externa junto con los distintos sectores de la organización. Colaborar con los auditores externos en la revisión de documentación y reportes. Realizar tareas de control interno y apoyo en procesos de auditoría. Participar en la elaboración de estados contables: Estado de Situación Patrimonial, Estado de Resultados, Estado de Evolución del Patrimonio Neto, Estado de Flujo de Efectivo, Cuadros, Notas y Anexo Requisitos: Formación en Contador Público o carreras afines. Experiencia mínima de 3 años en posiciones similares. Manejo avanzado de Excel ( intermedio/avanzado) y sistemas contables- Perfil proactivo, analítico y con buena capacidad de trabajo en equipo Disponibilidad para trabajar por un peridio determinado Se tendran especialmente en cuenta candidatos que residan en zonas de cercania con Nordelta Movilidad (deseable) Beneficios Se ofrece un entorno inmejorable, trabajar donde todos quieren vivir Gimnasio ️‍️ Día de cumpleaños libre Regalo de cumpleaños Club de Beneficios Trayecto formativo Beneficios Bimbo Beneficios Arcor CUI descuentos en idiomas Esquema hibrido 4 x 1 Maquina de Snack y refrigerio saludable",False,"Tigre, Buenos Aires",Presencial,Full-time,04-11-2025,2025-11-04,2025-11-04T00:00:00-03:00,04-11-2025 10:34:15,,,04-11-2025 10:34:15,,,2,False,1,58,1,https://imgbum.jobscdn.com/portal/img/empresas/1/static/logoMainPic_13496377_bum_v831201de.jpg,,,,40,Destacados,bumeran,destacado,False,False,False,,,https://www.bumeran.com.ar/empleos/1118032030.html,2025-11-04T11:21:23.491199
1118032029,13496377.0,Profesor de Colonia Club Nordelta,AVN - Nordelta,"Somos un equipo de colaboradores que tenemos como prioridad brindar servicios de excelencia a los habitantes de la ciudad de Nordelta. Gestionamos una Ciudad integrada por más de 28 barrios, incluyendo 82 consorcios, donde viven unas 45.000 personas.Nordelta cuenta con más de 10.000 viviendas y oficinas, cinco colegios, centro médico, un amplio polo comercial, áreas náuticas, paseos ribereños y un completo club deportivo. El Centro Cívico alberga dos templos religiosos, un nuevo sanatorio en construcción y será la sede de otro colegio.Nuestra gestión diaria apunta al desarrollo integral de la comunidad con compromiso, calidad, integridad y eficiencia. Mejoramos e innovamos los procesos en forma continua para posicionar a Nordelta como una Ciudad modelo en seguridad, orden y sustentabilidad. En Club Nordelta, un espacio deportivo con múltiples disciplinas,estamos buscando sumar un/a profesor/a responsable, dinámico/a y con vocación de enseñanza para trabajar en nuestras escuelas deportivas y actividades recreativas dentro de la temporada de Colonia de verano 2025.Principales funciones del puesto: Asegurar y brindar un servicio y espacio de calidad bajo las normas establecidas. Satisfacer los requerimientos del socio dentro de lo establecido Participar en eventos, colonias y actividades especiales que el club promueve.ra el servicio. Será responsable de asistir y colaborar con el desarrollo de actividades. Planificación y coordinación de actividades. Brindar contención, asistencia y cuidado al socio. Asumir compromiso y responsabilidad para con la misión del Club. Coordinar con el equipo del club para mantener el estándar de servicios, seguridad deportiva y atención al socio. Planificar clases acordes al nivel del grupo (niños, adolescentes ) Requisitos: Estudiantes graduados o avanzados en educacion fisica o afines Sexo indistinto. Disponibilidad para horarios poscuela, fines de semana o turnos que varían según actividad Duración: 1 de diciembre 2025 a de febrero 2026 Beneficios Se ofrece un entorno inmejorable, trabajar donde todos quieren vivir Combustible Gimnasio ️‍️ Día de cumpleaños libre Club de Beneficios Convenio 805/23 - Trayecto formativo Beneficios Bimbo Plataforma Fresh Beneficios Arcor",False,"Tigre, Buenos Aires",Presencial,Full-time,04-11-2025,2025-11-04,2025-11-04T00:00:00-03:00,04-11-2025 10:33:14,,,04-11-2025 10:33:14,,,1,False,9,120,1,https://imgbum.jobscdn.com/portal/img/empresas/1/static/logoMainPic_13496377_bum_v831201de.jpg,,,,40,Destacados,bumeran,destacado,False,False,False,,,https://www.bumeran.com.ar/empleos/1118032029.html,2025-11-04T11:21:23.491267
1118032027,13496377.0,Tecnico de energia,AVN - Nordelta,"Somos un equipo de colaboradores que tenemos como prioridad brindar servicios de excelencia a los habitantes de la ciudad de Nordelta. Gestionamos una Ciudad integrada por más de 28 barrios, incluyendo 82 consorcios, donde viven unas 45.000 personas.Nordelta cuenta con más de 10.000 viviendas y oficinas, cinco colegios, centro médico, un amplio polo comercial, áreas náuticas, paseos ribereños y un completo club deportivo. El Centro Cívico alberga dos templos religiosos, un nuevo sanatorio en construcción y será la sede de otro colegio.Nuestra gestión diaria apunta al desarrollo integral de la comunidad con compromiso, calidad, integridad y eficiencia. Mejoramos e innovamos los procesos en forma continua para posicionar a Nordelta como una Ciudad modelo en seguridad, orden y sustentabilidad. Estamos incorporando un/a Técnico/a de Energía para sumarse al equipo de Operaciones , dentro de Asociacion vecinal Nordelta a los fines de ofrecer un servicio coordinado para la elaboración de informes de estado, actualización, difusión y operación en los que se establezcan estados y niveles mínimos requeridos de servicio y trabajos referidos a proyectos eléctricos.Principales responsabilidades del puesto: Ejecutar tareas de mantenimiento preventivo y correctivo en instalaciones eléctricas de media y baja tensión. Realizar maniobras en tableros, mediciones y control de consumos. Participar en inspecciones, registros y reportes técnicos. Colaborar en proyectos de eficiencia energética y mejora continua. Armar y confeccionar los planos para los tableros de energía respetando las normativas vigentes. Garantizar la correcta conexión, maniobra, comando, medición, protección y señalización de los tableros eléctricos. Ser nexo con entidades externas / proveedores de modo tal de garantizar la cobertura del servicio de suministro eléctrico. Dar gestión a los proyectos asignados y/o planificados por el área. Diseñar y elaborar planos de las instalaciones y proyectos en curso. Relevar y definir los materiales a emplear para los trabajos y proyectos a realizar. Interactuar con los Intendentes para cuestiones relativas al cumplimento de su misión Dar gestión a los proyectos asignados y/o planificados por el área. Diseñar y elaborar planos de las instalaciones y proyectos en curso. Relevar y definir los materiales a emplear para los trabajos y proyectos a realizar. Requisitos: Autocad intermédio / avanzado. Sexo Indistinto. Formación técnica eléctrica, electromecánica o afín (excluyente) Experiencia en mantenimiento eléctrico industrial, comercial o en servicios urbanos. Licencia de conducir Disponibilidad para trabajo presencial y eventuales guardias Conocimientos en sistemas de medición, tableros y normas de seguridad eléctrica.Valoramos: Perfil proactivo, con orientación a la seguridad, el trabajo en equipo y la mejora continua. Experiencia en entornos de servicios o barrios privados (no excluyente). Beneficios Incorporación a un equipo técnico con foco en innovación y sustentabilidad. Buen clima laboral y oportunidades de desarrollo profesional. Se ofrece un entorno inmejorable, trabajar donde todos quieren vivir Gimnasio ️‍️ Día de cumpleaños libre Regalo de cumpleaños Club de Beneficios Trayecto formativo Beneficios Bimbo Beneficio operativo en combustible CUI descuentos en idiomas Maquina de Snack",False,"Tigre, Buenos Aires",Presencial,Full-time,04-11-2025,2025-11-04,2025-11-04T00:00:00-03:00,04-11-2025 10:32:50,,,04-11-2025 10:32:50,,,1,True,22,36,1,https://imgbum.jobscdn.com/portal/img/empresas/1/static/logoMainPic_13496377_bum_v831201de.jpg,,,,40,Destacados,bumeran,destacado,False,False,False,,,https://www.bumeran.com.ar/empleos/1118032027.html,2025-11-04T11:21:23.491356
1118032020,10202110.0,Líder Comercial - Agenciamiento tramp - Agencia marítima,RH Talentum,"Buscamos un/a Líder Comercial con visión estratégica y sólida orientación al desarrollo de negocios en el sector marítimo. La persona seleccionada tendrá un rol clave en la expansión y posicionamiento de nuestras operaciones, liderando el mapeo del mercado y la gestión de oportunidades comerciales tanto locales como internacionales.Responsabilidades principales: Mapeo y análisis de mercado. Comprensión y manejo de la dinámica del negocio. Elaboración de proformas y seguimiento de operaciones. Desarrollo y fortalecimiento de la red de contactos comerciales. Planificación de viajes conforme a la estrategia del negocio. Potenciar la presencia institucional en redes sociales (LinkedIn, etc.).Requisitos: Inglés avanzado (oral y escrito). Formación profesional en áreas vinculadas al mercado: Ingeniería Industrial, Administración de Empresas o carreras afines. Disponibilidad para viajes internacionales. Movilidad propia Capacidad de comprensión integral del negocio y sus dinámicas operativas.Lunes a viernes - 9 a 18 HS - HíbridoLa empresa ofrece prepaga de primera linea, importantes beneficios, capacitaciones y sueldo acorde.",False,"Capital Federal, Buenos Aires",Híbrido,Full-time,04-11-2025,2025-11-04,2025-11-04T00:00:00-03:00,04-11-2025 10:30:31,,,04-11-2025 10:30:31,,,1,False,6,2628,1,https://imgbum.jobscdn.com/portal/img/empresas/0/0/1/0/2/0/2/1/1/0/logoMainPic_10202110.jpg,True,False,3.71,1020,Aviso Talento,bumeran,talento,True,True,False,,,https://www.bumeran.com.ar/empleos/1118032020.html,2025-11-04T11:21:23.491395
1118032018,17250.0,Analista en Citometría de Flujo,Cibic Laboratorios,"Somos un laboratorio enfocado en el diagnóstico clínico y en el desarrollo de la biotecnología, situado en Rosario y en Funes, provincia de Santa Fe, con más de 30 años de experiencia en diagnóstico de la salud. Conforman nuestro equipo de trabajo más de 300 personas, distribuidas en nueve Centros de Atención a Pacientes, en el Centro de Producción, Investigación y Desarrollo (CEPIDE) y en el Centro de Almacenamiento y Logística. Contamos con profesionales especializados, equipos de última tecnología y un sistema de gestión integrado. Somos laboratorio de referencia nacional por la innovación tecnológica y por los estándares de nuestros servicios. Buscamos un/a Analista de Citometría de FlujoMisión del puesto:Garantizar resultados confiables y oportunos en los estudios de citometría de flujo, asegurando el cumplimiento de los estándares de calidad establecidos por CIBIC Laboratorios. Contribuir al desarrollo de nuevas prestaciones y a la mejora continua de los procesos, impulsando la innovación, la capacitación interna y la sostenibilidad de las prácticas del sector.Responsabilidades principales: Procesar muestras para estudios inmunofenotípicos: preparación celular, adquisición en el citómetro, interpretación y validación técnica y clínica de resultados. Participar en el desarrollo, estandarización y validación de nuevas determinaciones. Realizar controles de calidad, gestionar no conformidades y proponer mejoras técnicas y operativas. Colaborar en el mantenimiento y gestión de equipamiento, registros e insumos del sector. Participar en capacitaciones internas y externas, así como en proyectos de investigación, jornadas o congresos vinculados al área. Requisitos: Requisitos: Título de Bioquímico/a (excluyente). Interés en desarrollarse en el área de Citometría de Flujo. Compromiso con la calidad, el aprendizaje continuo y el trabajo colaborativo. Jornada: Lunes a viernes de 12 a 20 h y sábados de 10 a 15 h (ambos horarios pueden ajustarse). La capacitación inicial se realiza en turno mañana; una vez finalizada, la cobertura será en turno tarde. Beneficios Prepaga de primer nivel Mutual Grupo Oroño Día de cumpleaños free + regalo de cumpleaños ‍️ Descuentos en comercios adheridos y gimnasios Beneficios bancarios ‍ Importantes descuentos en seguros",False,"Rosario, Santa Fe",Presencial,Full-time,04-11-2025,2025-11-04,2025-11-04T00:00:00-03:00,04-11-2025 10:30:04,,,04-11-2025 10:30:04,,,1,False,16,32,1,https://imgbum.jobscdn.com/portal/img/empresas/1/static/logoMainPic_17250_bum_v24d8b615.jpg,True,False,,2013,Simples Hiring Room 30-60,bumeran,simple,False,False,False,,,https://www.bumeran.com.ar/empleos/1118032018.html,2025-11-04T11:21:23.491460
1118032017,466950.0,Inspector de Obras,CLUSTERciar,"VisiónSer la empresa líder en servicios de inspección, supervisión y gerenciamiento en los mercados de energía e industria, reconocida por nuestra confiabilidad, flexibilidad y compromiso con la seguridad.MisiónSomos un equipo de profesionales comprometidos en garantizar el éxito de los proyectos de nuestros clientes en los sectores de energía e industria, a través de servicios de inspección, supervisión y gerenciamiento, propiciando también el desarrollo social con base en nuestrosvalores y principios.Valores3 Valores fundamentales que reflejan todas las organizaciones del grupo Clusterciar:Confiabilidad.Trabajo en equipo.Integridad.2 Valores distintivos propios de la empresa:Flexibilidad: Refiere a la capacidad de adaptarnos a las necesidades y particularidades de cada cliente, ofreciendo soluciones a medida.Compromiso con la seguridad: Representa la principal prioridad de proteger a los equipos y clientes en todos los proyectos. En Trace Group estamos en búsqueda de Inspectores de Obra.El candidato ideal deberá tener experiencia en obras de refuerzos de red, renovación de calentadores, protección Catódica, adecuación de platas, extensión de redes.Modalidad de Contratación: Contrato Plazo Fijo Zona: distintas obras en toda la Patagonia Diagrama: 30x10 Requisitos: Secundario Completo. Carnet de conducir vigente. Experiencia mayor a 5 años en puestos similares, preferentemente en Oil & Gas. Habilidades de liderazgo y trabajo en equipo. Beneficios Beneficio adicional: Obra social Medifé Platinium",False,"Trelew, Chubut",Presencial,Full-time,04-11-2025,2025-11-04,2025-11-04T00:00:00-03:00,04-11-2025 10:29:37,,,04-11-2025 10:29:37,,,3,False,29,2430,1,https://imgbum.jobscdn.com/portal/img/empresas/0/0/0/0/4/6/6/9/5/0/logoMainPic_466950_bum_v393eed13.jpg,False,False,,2001,Freemium,bumeran,freemium,False,False,False,,,https://www.bumeran.com.ar/empleos/1118032017.html,2025-11-04T11:21:23.491504
1118032016,334930.0,Oficial de Negocios Polivalente - Sucursal Lujan,Banco Hipotecario,"Con 138 años de trayectoria, somos una de las instituciones más sólidas del sistema financiero argentino, con presencia a lo largo y a lo ancho de nuestro país. En nuestro recorrido, otorgamos 2 millones de créditos hipotecarios a familias argentinas, para que puedan acceder a su primera vivienda. Hoy nos estamos transformando, y tenemos una visión clara: ser el prestador de servicios financieros del hogar, las familias y las empresas argentinas.Buscamos ser:Eficientes y digitalesReconocidos por la excelencia en la atención de nuestros clienteCon una cultura centrada en las personasCon decisiones basadas en datosCaracterizados por una huella social positiva¿Te ves acá? ¡Te invitamos a formar parte de nuestro equipo y sumarte a la #TransformaciónBH! Búsqueda laboral equitativa:El empleador sólo podrá solicitarle la información estrictamente necesaria para el desempeño en el trabajo que se ofrece (Ley N° de la Ciudad de Buenos Aires). Somos el #BancoDelHogar y nos encantaría que puedas integrar el equipo de Plataforma Comercial de nuestra Sucursal en Villa UrquizaBuscamos personas con perfil comercial y apasionadas por superar todos los desafíos Algunos datos de tu misión en BH: Realizar acciones de venta de todos los productos del banco. Presentar iniciativas comerciales y de nuevos posibles negocios. Brindar asesoramiento integral a los clientes. Asesoramiento sobre inversiones. Gestionar la documentación y carga de información en el sistema. Colaborar con las acciones operativas de la sucursal. Requisitos: ¿Qué buscamos? Profesionales o estudiantes de carreras como Ciencias Económicas o afines. Tenés un plus si tenes experiencia previa en caja y venta de productos financieros, con un fuerte perfil comercial. Capacidad para el trabajo por objetivos, orientación a resultados, adaptabilidad y excelente predisposición. Beneficios Te ofrecemos Plan de salud corporativo cerrado y exclusivo. ¡Para vos y tu familia! Licencia por vacaciones computadas por días hábiles. Campaña de vacunación antigripal. Reintegro por guardería, jardín de infantes, colonia de vacaciones y educación especial. Día de la familia. Un día libre que podrás gozar en cualquier momento del año. Día libre en el mes de tu cumpleaños. Descuentos en universidades, casas de estudio e idiomas para potenciar tu desarrollo. Academias, escuelas y cursos disponibles en nuestra plataforma de aprendizaje. Condiciones exclusivas en productos BH. Descuentos en diferentes productos y servicios. Alianzas con más de 2500 comercios en todo el país.",False,"Buenos Aires, Buenos Aires",Presencial,Full-time,04-11-2025,2025-11-04,2025-11-04T00:00:00-03:00,04-11-2025 10:29:28,,,04-11-2025 10:29:28,,,1,False,6,23,1,https://imgbum.jobscdn.com/portal/img/empresas/1/static/logoMainPic_334930_bum_v18a4597e.jpg,False,False,3.25,2001,Freemium,bumeran,freemium,False,False,False,,,https://www.bumeran.com.ar/empleos/1118032016.html,2025-11-04T11:21:23.491567
1118032014,530430.0,Transportista / Servicio de Paquetería para importante Logística - Rosario,Manpower,"🚚 ¡Buscamos Transportista con Experiencia para Importante Servicio de Paquetería!En ManpowerGroup Argentina nos encontramos en la búsqueda de un/a Transportista para sumarse a un reconocido servicio logístico de paquetería y distribución.Tu misión principal será garantizar la entrega segura y puntual de paquetes y mercancías, cumpliendo con las rutas y horarios establecidos.🧭 Principales responsabilidades: Retirar los envíos en los domicilios de los clientes, asegurando su correcto manejo y traslado. Realizar la entrega de los paquetes en tiempo y forma. Controlar remitos, hojas de ruta y documentación de los envíos. Efectuar cobros y rendiciones diarias. Velar por el correcto uso y mantenimiento de los vehículos asignados.🔧 Requisitos: Secundario completo (con analítico). Registro profesional categoría C1 / C2. Experiencia previa en el sector logístico, especialmente en repartos, distribución, control de remitos y hoja de ruta. Perfil responsable, puntual y con buena capacidad de organización y manejo de vehículos de transporte.🕘 Jornada laboral: Lunes a viernes – 9 a 18 hsEn ManpowerGroup promovemos una cultura inclusiva y diversa, basada en el respeto y la igualdad de oportunidades.Al postularte o avanzar en este proceso, aceptás el tratamiento de tus datos personales conforme a nuestra Política de Privacidad (Ley 25.326). Tu información será utilizada exclusivamente con fines de evaluación y contacto en relación con oportunidades laborales.📦 ¡Si te apasiona la logística y querés formar parte de un gran equipo, esperamos tu postulación!",False,"Rosario, Santa Fe",Presencial,Full-time,04-11-2025,2025-11-04,2025-11-04T00:00:00-03:00,04-11-2025 10:28:01,,,04-11-2025 10:29:17,,,1,False,3,109,1,https://imgbum.jobscdn.com/portal/img/empresas/1/static/logoMainPic_530430_bum_v46fdf97f.jpg,False,False,4.3,70,Simples,bumeran,simple,True,False,True,,,https://www.bumeran.com.ar/empleos/1118032014.html,2025-11-04T11:21:23.491625
1118032006,10078267.0,Encargada para sus locales,Dynamic Box HR consulting,"Encargada para sus locales de CABA.Los Locos, importante marca de indumentaria, buscaEncargada para sus locales de CABA.Buscamos una profesional con liderazgo natural, excelente manejo de equipos y fuerte orientación a resultados. Valoramos la autonomía, la capacidad para tomar decisiones, la proactividad y una actitud servicial. Es clave contar con habilidades para coordinar tareas, motivar al equipo y garantizar una experiencia de compra diferencial para nuestras clientas.¿Qué necesitas para sumarte?· Experiencia previa como encargada en locales de indumentaria o retail (excluyente)· Conocimientos en gestión de equipos, stock, ventas y administración de locales.· Buen manejo de caja, indicadores de performance y herramientas de seguimiento.Disponibilidad full time. Lunes a sábado (48hs semanales)· Residir en capital federal – deseable· Excelente presencia, comunicación clara y compromiso con los objetivos del negocio.¿Cuáles serán tus desafíos?· Liderar y acompañar al equipo para alcanzar los objetivos de ventas.· Supervisar la imagen, horarios, desempeño y organización del personal.· Gestionar capacitaciones, evaluaciones y tareas administrativas del equipo.· Controlar el stock, los traspasos, la exhibición de productos y el material POP.· Armar planes de acción, analizar métricas de ventas y aplicar estrategias comerciales.· Asegurar el orden y limpieza del local, la vidriera y el depósito.· Garantizar una experiencia de compra excelente y gestionar reclamos o devoluciones.· Ser el nexo directo con la gerencia de operaciones, reportando avances y necesidades.·📩 A las interesadas, enviar CV con remuneración pretendida a",False,"Capital Federal, Buenos Aires",Presencial,Full-time,04-11-2025,2025-11-04,2025-11-04T00:00:00-03:00,04-11-2025 10:23:29,,,04-11-2025 10:23:29,,,1,False,6,35,1,https://imgbum.jobscdn.com/portal/img/empresas/1/static/logoMainPic_10078267_bum_v4b905bc9.jpg,False,False,,1020,Aviso Talento,bumeran,talento,False,False,False,,,https://www.bumeran.com.ar/empleos/1118032006.html,2025-11-04T11:21:23.491682
