id_oferta,id_empresa,titulo,empresa,descripcion,confidencial,localizacion,modalidad_trabajo,tipo_trabajo,fecha_publicacion_original,fecha_publicacion_iso,fecha_publicacion_datetime,fecha_hora_publicacion_original,fecha_hora_publicacion_iso,fecha_hora_publicacion_datetime,fecha_modificado_original,fecha_modificado_iso,fecha_modificado_datetime,cantidad_vacantes,apto_discapacitado,id_area,id_subarea,id_pais,logo_url,empresa_validada,empresa_pro,promedio_empresa,plan_publicacion_id,plan_publicacion_nombre,portal,tipo_aviso,tiene_preguntas,salario_obligatorio,alta_revision_perfiles,guardado,gptw_url,url_oferta,scrapeado_en
1118028763,1282780.0,Encargada de Tienda - La Plata,Adecco - Permanent Talent,"BUSCAMOS TALENTOS,¡EN ADECCO TE ESTAMOS BUSCANDO!Si te interesa ser Encargada de Tienda en el equipo de nuestro cliente , importante empresa ubicada en la zona de Capital Federal ¡desafíate a vos mismo y crea tu futuro!¿QUÉ DESAFÍOS TE ESPERAN? Cumplimiento de objetivos comerciales de la Boutique, mediante estrategias comerciales y seguimiento de avances junto al equipo. Debe asegurar la comunicación clara de metas y la reacción oportuna ante desvíos. Liderar y desarrollar al equipo, asegurando la correcta transmisión de los valores de la empresa. Identificar necesidades de desarrollo, brindar feedback constante, y dar seguimiento a indicadores de clima y desempeño, generando un entorno de trabajo positivo y alineado a los objetivos del negocio. Garantizar una experiencia de compra excepcional, resolviendo consultas y reclamos de forma eficiente y profesional. Asegurar el cumplimiento de políticas, protocolos y procedimientos internos en todas las operaciones de tienda. Supervisar de forma integral las rutinas operativas de la Boutique, incluyendo la gestión de inventarios, lineamientos de visual y mantenimiento de la imagen de marca, impulsando la mejora continua.¿QUÉ VALORAMOS DE TU PERFIL? Experiencia de 3 a 5 años liderando equipos en rubro retail, con foco en gestión de objetivos comerciales y procesos operativos. Formación académica y conocimientos específicos: Comercialización, Marketing, o carreras afines. Experiencia en reportes de Indicadores clave de gestión (ventas, conversión, ticket promedio, unidad por ticket) Dominio de sistemas de gestión (ERP, CRM, plataformas de retail) y planillas de cálculo.¿QUE TE OFRECEMOS? Lugar de trabajo: CABA Jornada laboral: Rotativo Contratación: efectivaSomos Adecco Argentina una compañía con más de 30 años de experiencia que conecta empresas con talentos, brindando soluciones integrales de Recursos Humanos y buscamos talentos, ¡COMO VOS!Nuestro compromiso, es la #diversidad e #igualdad de oportunidades somos una empresa inclusiva. Cuando sos parte de nuestros procesos, solo cuentan tus méritos, logros y capacidades, lo hacemos pensando en vos como persona.Participar de nuestros procesos de selección no tiene ningún costo para vos candidato/a, trabajar con vos es parte de nuestro compromiso y tarea con la comunidad. Postulate y participa en una oferta de empleo nuestra.El empleador sólo podrá solicitarle la información estrictamente necesaria para el desempeño en el trabajo que se ofrece.Ciudad de Buenos Aires: ley de búsqueda laboral equitativa - Ley 6471",False,"Capital Federal, Buenos Aires",Presencial,Full-time,31-10-2025,2025-10-31,2025-10-31T00:00:00-03:00,31-10-2025 11:04:52,,,31-10-2025 11:04:52,,,1,False,6,35,1,https://imgbum.jobscdn.com/portal/img/empresas/0/0/0/1/2/8/2/7/8/0/logoMainPic_1282780_bum_vf37880d6.jpg,False,False,3.71,70,Simples,bumeran,simple,True,False,False,,,https://www.bumeran.com.ar/empleos/1118028763.html,2025-10-31T11:51:25.520492
1118028762,413550.0,Analista Contable,HuCap,Para importante grupo de empresas requerimos estudiante próximo a graduarse de la carrera de Contador o Lic en Administración con al menos 3 años de experiencia en identica posicion en estudios contables.Funciones: Organizar proceso de cierre mensual de las empresas bajo su responsabilidad Relevar y comprender el impacto de los circuitos administrativos en la contabilidad Realizar análisis y conciliaciones de cuentas contables y activos fijos. Proponer ajuste de circuitos y módulos. Interactuar con los responsables de los módulos para proponer correcciones o adecuaciones. Proponer y registrar ajustes contables manuales Gestión y Control de libros contables Ajuste por inflación contable Atender requerimientos de auditoria externo. Elaboración de informes por centro de costos e interactuar con otras áreas de la empresaRequisitos: Contador/a o estudiante próximo a graduarse de la carrera de Contador o Lic en Administración Experiencia en grupos empresarios en idéntica posición Disponibilidad para trabajar presencialmente en capital federal Excelente dominio de ExcelSi la propuesta es de tu interés aguardamos tu postulación! Equipo Hucap,False,"Capital Federal, Buenos Aires",Presencial,Full-time,31-10-2025,2025-10-31,2025-10-31T00:00:00-03:00,31-10-2025 11:02:43,,,31-10-2025 11:02:43,,,1,False,1,58,1,https://imgbum.jobscdn.com/portal/img/empresas/1/static/logoMainPic_413550_bum_vd6162bb4.jpg,False,False,3.0,1020,Aviso Talento,bumeran,talento,False,False,False,,,https://www.bumeran.com.ar/empleos/1118028762.html,2025-10-31T11:51:25.520539
1118028753,13134784.0,KINESIOLOGIA (CABA),BETA care SRL,"kinesiología domiciliaria es una modalidad de atención en la que el kinesiólogo (fisioterapeuta) realiza tratamientos en el hogar del paciente, en lugar de hacerlo en un centro o consultorio.Su objetivo principal es brindar rehabilitación y recuperación funcional a personas que, por distintas razones, no pueden trasladarse fácilmente (por ejemplo, adultos mayores, pacientes postquirúrgicos o con movilidad reducida).🔹 En qué consiste: Evaluación del estado físico y funcional del paciente en su domicilio. Elaboración de un plan de tratamiento personalizado, adaptado al entorno del hogar. Aplicación de técnicas de kinesioterapia, ejercicios terapéuticos, masoterapia, movilizaciones articulares, y entrenamiento funcional. Educación al paciente y a su familia sobre cuidados posturales, ejercicios y prevención de recaídas.",False,"Buenos Aires, Buenos Aires",Presencial,Por Horas,31-10-2025,2025-10-31,2025-10-31T00:00:00-03:00,31-10-2025 10:58:04,,,31-10-2025 10:58:04,,,20,False,23,2659,1,https://imgbum.jobscdn.com/portal/img/empresas/1/static/logoMainPic_13134784_bum_v4917cf40.jpg,False,False,,70,Simples,bumeran,simple,False,False,False,,,https://www.bumeran.com.ar/empleos/1118028753.html,2025-10-31T11:51:25.520586
1118028743,530430.0,Playeros/as Vendedores/as para Temporada de Verano AZUL,Manpower,"¡Tenemos una oportunidad para vos!Nos encontramos en la búsqueda de Playeros/as Vendedores/as para reconocida empresa ubicada en Azul, Buenos AiresLas principales tareas del puesto serán: Atender y brindar un servicio personalizado a cada cliente. Carga de combustible Manejar la programación de la producción de alimentos controlando fechas de vencimiento de los productos exhibidos. Atender la Caja responsabilizándose por los valores que maneja Controlar el stock de los productos. Controlar la recepción de combustible y productos. Mantener limpios y en orden todos los sectores de máquinas y equipos.Requisitos:Secundario completo (excluyente)Disponibilidad horaria full time, rotativos.Residir en AzulExperiencia en atención al cliente.Horario de trabajo: Full time, rotativosLugar de trabajo: Azul, Buenos Aires.Modalidad de contratación: Eventual por temporada (de diciembre a marzo)En ManpowerGroup promovemos una cultura inclusiva y diversa basada en el respeto y en la igualdad de oportunidades.",False,"Azul, Buenos Aires",Presencial,Full-time,31-10-2025,2025-10-31,2025-10-31T00:00:00-03:00,31-10-2025 10:56:05,,,31-10-2025 10:56:05,,,1,False,25,2571,1,https://imgbum.jobscdn.com/portal/img/empresas/1/static/logoMainPic_530430_bum_v46fdf97f.jpg,False,False,4.3,70,Simples,bumeran,simple,True,False,False,,,https://www.bumeran.com.ar/empleos/1118028743.html,2025-10-31T11:51:25.520622
1118028694,10066406.0,Vendimia 2026 (Maipú - Valle de Uco),Familia Zuccardi,"Somos una empresa familiar fundada en 1963 por el Ing. Alberto Zuccardi. Hoy, desde nuestros viñedos y olivares ubicados en distintas zonas de Mendoza, somos reconocidos a nivel local e internacional por la elaboración de grandes vinos y aceites de oliva, que llegan a más de 60 países de los cinco continentes.Además de relacionarnos con nuestros consumidores a través de nuestros vinos y aceites de oliva, también contamos con un área de Hospitalidad compuesta por dos centros de visitas y tres restaurants ubicados en Bodega Santa Julia, Bodega Zuccardi Valle de Uco y en la almazara Zuelo.Desde nuestros inicios hemos estado focalizados sobre cuatro objetivos:Elaborar vinos y aceites de oliva de la más alta calidad.Mantener una constante capacidad de innovación.Trabajar en total armonía con el medio ambiente.Ser útiles a la comunidad dentro de la cual nos desarrollamos. ¡UNITE A NUESTRO EQUIPO DE VENDIMIA 2026 EN FAMILIA ZUCCARDI! ¿Sos graduado o estudiante avanzado de Enología, Ingeniería Industril, Ingeniería Química, Bromatología o afines? Esta puede ser tu oportunidad para vivir una temporada junto a nosotros.Si tenés experiencia en vendimias anteriores, tenés ganas de aprender y trabajar en equipo, te identificás con nuestros valores de Calidad, Innovación, Pasión y Compromiso ¡Queremos que seas parte de nuestros equipos en Maipú o en Valle de Uco! Envianos tu CV para compartir esta experiencia!! Requisitos:",False,"Maipú, Mendoza",Presencial,Temporario,31-10-2025,2025-10-31,2025-10-31T00:00:00-03:00,31-10-2025 10:47:22,,,31-10-2025 10:47:22,,,1,False,16,32,1,https://imgbum.jobscdn.com/portal/img/empresas/0/0/1/0/0/6/6/4/0/6/logoMainPic_10066406_bum_v1bddb911.jpg,False,False,2.0,2001,Freemium,bumeran,freemium,False,False,False,,,https://www.bumeran.com.ar/empleos/1118028694.html,2025-10-31T11:51:25.520667
1118028690,13129298.0,Customer Success,5411 Hub,"Desde 5411 Hub, consultora especializada en procesos de Headhunting y Recruiting en LATAM & US, acompañamos a una importante agencia líder en marketing digital en la búsqueda de un/a Customer Success para una de sus cuentas globales más reconocidas del sector belleza y consumo masivo.Sobre la posiciónBuscamos un/a profesional con experiencia sólida en CRM y gestión de clientes estratégicos, capaz de liderar la relación con el cliente, garantizar la excelencia operativa de las campañas y generar impacto en la experiencia del consumidor a través de soluciones de marketing personalizadas y orientadas a resultados.Responsabilidades Actuar como principal punto de contacto con el cliente, asegurando una comunicación fluida y la alineación de expectativas. Participar en la toma de briefs, seguimiento y ejecución de campañas de marketing, garantizando entregables de alta calidad. Implementar y optimizar estrategias CRM orientadas a la fidelización y retención de clientes. Colaborar con equipos internos multidisciplinarios y remotos, promoviendo la integración entre áreas técnicas, creativas y de negocio. Analizar resultados y generar reportes estratégicos que aporten valor y oportunidades de mejora.Requisitos excluyentes Experiencia comprobable en CRM y operaciones de campañas de marketing (idealmente en agencias o entornos multinacionales). Capacidad para comprender la contribución del CRM a los objetivos del negocio. Inglés avanzado (oral y escrito) — se evaluará en entrevista. Excelentes habilidades de comunicación, colaboración y gestión de stakeholders. Sólida capacidad analítica y orientación a resultados.Deseable Conocimiento o experiencia con Salesforce Marketing Cloud (SFMC) o plataformas similares de automatización de marketing. Experiencia gestionando proyectos o campañas en mercados de LATAM (Brasil, Chile, Argentina, México, Panamá o Colombia). Certificación Braze Certified Marketer o conocimientos en Braze. Alta capacidad de aprendizaje y adaptación a entornos dinámicos y globales.Qué valoramos Vocación por brindar un servicio de excelencia y construir relaciones de largo plazo con el cliente. Proactividad, pensamiento estratégico y autonomía. Interés en desarrollarse dentro de una agencia internacional con grandes oportunidades de crecimiento profesional.Modalidad: Híbrida / Remota según ubicación del candidato. Jornada: Full-time. Idioma: Inglés avanzado obligatorio.",False,"Capital Federal, Buenos Aires",Híbrido,Full-time,31-10-2025,2025-10-31,2025-10-31T00:00:00-03:00,31-10-2025 10:43:23,,,31-10-2025 10:43:23,,,1,False,25,2571,1,,True,False,,70,Simples,bumeran,simple,True,False,False,,,https://www.bumeran.com.ar/empleos/1118028690.html,2025-10-31T11:51:25.520737
1118028688,13037589.0,VENDEDOR ZONA SUR,Consultora,"PARA IMPORTANTE DISTRIBUIDORA DE ALIMENTOS UBICADA EN QUILMESBUSCAMOS, VENDEDOROrientamos nuestra búsqueda a vendedores con vocación comercial y compromiso con la tarea, con experiencia mínima 2 años en empresas preferentemente de consumo masivo o alimenticias de consumo masivo, en el área de ventas. Manejo y desarrollo personalizado de cartera de clientes . Movilidad propia (auto) y registro vigente.ObjetivoDesarrollar el potencial de compra de los clientes o del territorio asignado. Cumplir con los objetivos definidos por la Empresa, velando por maximizar la rentabilidad del negocio. Realizar tareas de Ejecución según el tipo de Punto de Venta y conocer de primera mano las novedades de sus clientes y la competenciaTareas: Conocer y mantener actualizada la cartera de clientes, de la distribuidora. Conquistar clientes nuevos. Realizar la venta de todos los productos que incluye el portafolio de la empresa, basado en una propuesta de ventas, considerando los stocks existentes, las acciones promocionales. Ejecutar acciones promocionales y relevar las que esté haciendo la competencia Brindar asesoría comercial y técnica al cliente en cuanto a: exhibición de productos, precio de venta, tendencias, acciones promocionales, nuevos productos o recetas, según la necesidad del cliente y con el fin de detectar nuevas oportunidades de venta y fidelización del cliente. Proponer al cliente acciones en el Salón de Ventas, con el fin de mejorar la exhibición de productos, rotación, rentabilidad y la posición de la empresa en el Punto de Venta. Hacer seguimiento de los Indicadores de Gestión definidos para medir su performance. Participar activamente de las tareas del proceso de ventas que lo involucran Relevar la información requerida y ejecutar las tareas definidas como parte de procesos de Censo de Mercado, Relevamiento de Precios y Otros Completar la información necesaria para las altas, bajas y modificaciones de los clientes. Realizar la cobranza de las facturas pendientes y hacer la rendición de las mismas.Horario de trabajo: Lunes a viernes de 7:30hs a 17:00hsZona de trabajo: Zona Sur",False,"Quilmes, Buenos Aires",Presencial,Full-time,31-10-2025,2025-10-31,2025-10-31T00:00:00-03:00,31-10-2025 10:37:30,,,31-10-2025 10:37:32,,,1,False,6,35,1,https://imgbum.jobscdn.com/portal/img/empresas/0/0/1/3/0/3/7/5/8/9/logoMainPic_13037589_bum_v3bb5d281.jpg,False,False,4.14,1020,Aviso Talento,bumeran,talento,True,True,True,,,https://www.bumeran.com.ar/empleos/1118028688.html,2025-10-31T11:51:25.520792
1118028684,13381134.0,Analista de compras,IngeJons,"Nos encargamos del proceso de búsqueda, selección y contratación de personal técnico para fabricas y empresas de ingeniería. Realizamos procesos de evaluación técnica de acuerdo a las necesidades del puesto a cubrir. Cubrimos posiciones para diferentes niveles en áreas de Producción, Mantenimiento, Calidad, Operaciones, Procesos, ingeniería, Supply Chain, Customer Service, Logística, Seguridad & Higiene, Compras y Ventas Técnicas. ¡Estamos buscando un/a Analista de Compras!Si te interesa formar parte de un equipo en crecimiento y tenés experiencia en compras nacionales e internacionales, ¡esta oportunidad es para vos!Buscamos una persona analítica, proactiva y con ganas de optimizar procesos dentro de un entorno dinámico y colaborativo.-¿Qué buscamos?Experiencia mínima de 5 años en áreas de compras o abastecimiento en industrias.Conocimientos en procesos de importación/exportación y documentación asociada.Formación en Administración, Comercio Internacional o Supply Chain.Inglés avanzado (oral y escrito, para interacción con proveedores internacionales).Manejo intermedio/avanzado de Excel y sistemas ERPPerfil con capacidad analítica, orientación a resultados y excelentes habilidades de negociación.-¿Cuáles serán tus principales responsabilidades?Gestionar órdenes de compra nacionales e internacionales.Buscar, evaluar y negociar con proveedores locales y del exterior.Analizar precios, consumos y desempeño de proveedores.Preparar y gestionar documentación para compras (facturas, certificados, declaraciones aduaneras, etc.).Proponer mejoras en procesos y optimización de costos.Colaborar con las distintas áreas para asegurar el cumplimiento de plazos y estándares.-Ubicación: Caba.-Modalidad: Presencial. Lunes a Viernes de 8 a 17 hs.-Ofrecemos:Formar parte de una empresa en crecimiento.Excelente ambiente de trabajo.Oportunidades de desarrollo profesional.Capacitación continua. Requisitos:",False,"Capital Federal, Buenos Aires",Presencial,Full-time,31-10-2025,2025-10-31,2025-10-31T00:00:00-03:00,31-10-2025 10:33:27,,,31-10-2025 10:33:27,,,1,False,1,22,1,,False,False,,2001,Freemium,bumeran,freemium,False,False,False,,,https://www.bumeran.com.ar/empleos/1118028684.html,2025-10-31T11:51:25.520840
1117868779,13037589.0,VENDEDOR CONSUMO MASIVO,Consultora,"PARA IMPORTANTE DISTRIBUIDORA DE ALIMENTOS UBICADA EN QUILMESBUSCAMOS, VENDEDOROrientamos nuestra búsqueda a vendedores con vocación comercial y compromiso con la tarea, con experiencia mínima 2 años en empresas preferentemente de consumo masivo o alimenticias de consumo masivo, en el área de ventas. Manejo y desarrollo personalizado de cartera de clientes . Movilidad propia (auto) y registro vigente.ObjetivoDesarrollar el potencial de compra de los clientes o del territorio asignado. Cumplir con los objetivos definidos por la Empresa, velando por maximizar la rentabilidad del negocio. Realizar tareas de Ejecución según el tipo de Punto de Venta y conocer de primera mano las novedades de sus clientes y la competenciaTareas: Conocer y mantener actualizada la cartera de clientes, de la distribuidora. Conquistar clientes nuevos. Realizar la venta de todos los productos que incluye el portafolio de la empresa, basado en una propuesta de ventas, considerando los stocks existentes, las acciones promocionales. Ejecutar acciones promocionales y relevar las que esté haciendo la competencia Brindar asesoría comercial y técnica al cliente en cuanto a: exhibición de productos, precio de venta, tendencias, acciones promocionales, nuevos productos o recetas, según la necesidad del cliente y con el fin de detectar nuevas oportunidades de venta y fidelización del cliente. Proponer al cliente acciones en el Salón de Ventas, con el fin de mejorar la exhibición de productos, rotación, rentabilidad y la posición de la empresa en el Punto de Venta. Hacer seguimiento de los Indicadores de Gestión definidos para medir su performance. Participar activamente de las tareas del proceso de ventas que lo involucran Relevar la información requerida y ejecutar las tareas definidas como parte de procesos de Censo de Mercado, Relevamiento de Precios y Otros Completar la información necesaria para las altas, bajas y modificaciones de los clientes. Realizar la cobranza de las facturas pendientes y hacer la rendición de las mismas.Horario de trabajo: Lunes a viernes de 7:30hs a 17:00hsZona de trabajo: Zona Sur",False,"Quilmes, Buenos Aires",Presencial,Full-time,31-10-2025,2025-10-31,2025-10-31T00:00:00-03:00,31-10-2025 10:29:50,,,31-10-2025 10:29:50,,,1,False,6,23,1,https://imgbum.jobscdn.com/portal/img/empresas/0/0/1/3/0/3/7/5/8/9/logoMainPic_13037589_bum_v3bb5d281.jpg,False,False,4.14,1020,Aviso Talento,bumeran,talento,True,True,True,,,https://www.bumeran.com.ar/empleos/1117868779.html,2025-10-31T11:51:25.520892
1117907623,13469764.0,Analista Adm. para Logistica,RH-BP Consultora,"¡Buscamos Analista Administrativo para Logística!Empresa líder en venta mayorista de insumos de ferretería, ubicada en Palomar, busca incorporar Personal Administrativo para apoyar en tareas relacionadas con logística y gestión de pedidos.Responsabilidades: Recepcionar y verificar remitos de entrega de mercadería. Ingresar pedidos al sistema de gestión. Armar hojas de ruta para la distribución de pedidos. Controlar la cantidad de pedidos ingresados. Emitir facturas de pedidos procesados. Coordinar reparaciones de los camiones con talleres y proveedores. Verificar vencimientos de licencias de conducir de los choferes. Controlar el cumplimiento de revisiones técnicas de la flota.Requisitos: Secundario completo. Mínimo 1 año en tareas similares en logística o administración. Manejo de sistemas de gestión y facturación. Herramientas de Office, especialmente Excel. Nociones básicas de logística y normativa vial. Disponibilidad Horario Full Time (8 a 18.30hs)Ofrecemos: Puesto en una empresa en crecimiento. Ambiente laboral dinámico y colaborativo. Estabilidad y desarrollo profesional.",False,"El Palomar, Buenos Aires",Presencial,Full-time,31-10-2025,2025-10-31,2025-10-31T00:00:00-03:00,31-10-2025 10:28:50,,,31-10-2025 10:28:50,,,1,False,3,82,1,,False,False,,70,Simples,bumeran,simple,False,True,True,,,https://www.bumeran.com.ar/empleos/1117907623.html,2025-10-31T11:51:25.520926
