id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type,scrapeado_en,fuente,search_term_usado
li-4302656537,linkedin,https://www.linkedin.com/jobs/view/4302656537,,Sumate al equipo de ICBC (Base de Talentos),ICBC Argentina,,2025-10-22,,,,,,,False,,,,,,,https://ar.linkedin.com/company/icbc-argentina,,,,,,,,,,,,,2025-10-23T13:59:49.488235,linkedin,
li-4315991015,linkedin,https://www.linkedin.com/jobs/view/4315991015,,VENDEDORA - Boutiques CABA,MISHKA,"Buenos Aires, Buenos Aires Province, Argentina",2025-10-22,,,,,,,False,,,,,,,https://ar.linkedin.com/company/mishka-maison-fonde%C3%A9-2001,,,,,,,,,,,,,2025-10-23T13:59:49.488235,linkedin,
li-4317478467,linkedin,https://www.linkedin.com/jobs/view/4317478467,,Técnico de Mantenimiento Edilicio,Universidad de Palermo,"Buenos Aires, Buenos Aires Province, Argentina",2025-10-22,,,,,,,False,,,,,,,https://ar.linkedin.com/school/universidad-de-palermo/,,,,,,,,,,,,,2025-10-23T13:59:49.488235,linkedin,
li-4316206502,linkedin,https://www.linkedin.com/jobs/view/4316206502,,Gerente Comercial – Empresa PyME de Bebidas,Talent Solutions,,2025-10-22,,,,,,,False,,,,,,,https://ar.linkedin.com/company/talent-solutions-rrhh,,,,,,,,,,,,,2025-10-23T13:59:49.488235,linkedin,
li-4315413372,linkedin,https://www.linkedin.com/jobs/view/4315413372,,Asesor de atención al cliente y retención,Galicia Seguros,"Buenos Aires, Buenos Aires Province, Argentina",2025-10-21,,,,,,,False,,,,,,,https://ar.linkedin.com/company/galicia-seguros-grupo-financiero-galicia-banco-galicia-,,,,,,,,,,,,,2025-10-23T13:59:49.488235,linkedin,
li-4315452329,linkedin,https://www.linkedin.com/jobs/view/4315452329,,Asistente Administrativo PMO,Enta Consulting,"Buenos Aires, Buenos Aires Province, Argentina",2025-10-21,,,,,,,False,,,,,,,https://ar.linkedin.com/company/enta-consulting,,,,,,,,,,,,,2025-10-23T13:59:49.488235,linkedin,
li-4314996844,linkedin,https://www.linkedin.com/jobs/view/4314996844,,Administrativo ART,Pro Global,,2025-10-21,,,,,,,False,,,,,,,https://uk.linkedin.com/company/pro-global,,,,,,,,,,,,,2025-10-23T13:59:49.488235,linkedin,
li-4315423361,linkedin,https://www.linkedin.com/jobs/view/4315423361,,Comprador/a de Logística,Supermayorista Vital,,2025-10-21,,,,,,,False,,,,,,,https://ar.linkedin.com/company/vitalsupermayorista,,,,,,,,,,,,,2025-10-23T13:59:49.488235,linkedin,
li-4314903852,linkedin,https://www.linkedin.com/jobs/view/4314903852,,Recepcionista administrativo - CABA,ARGUS Diagnóstico Médico,"Buenos Aires, Buenos Aires Province, Argentina",2025-10-20,,,,,,,False,,,,,,,https://ar.linkedin.com/company/argus-diagnostico-medico,,,,,,,,,,,,,2025-10-23T13:59:49.488235,linkedin,
li-4314909267,linkedin,https://www.linkedin.com/jobs/view/4314909267,,Part-time Administrative Assistant for a USA Client (Remote),Paired,,2025-10-20,,,,,,,True,,,,,,,https://www.linkedin.com/company/pairedrecruiting,,,,,,,,,,,,,2025-10-23T13:59:49.488235,linkedin,
