id_oferta,id_empresa,titulo,empresa,empresa_confidencial,logo_url,descripcion,descripcion_raw,localizacion,modalidad_trabajo,tipo_trabajo,fecha_publicacion,fecha_modificacion,cantidad_vacantes,apto_discapacitado,url_oferta,scrapeado_en
2165835,,ANALISTA CONTABLE,Confidencial,True,,"DESCRIPCION DEL PUESTOEmpresa líder en equipamiento y soluciones audiológicas busca incorporar un ANALISTA CONTABLE para sus oficinas en C.A.B.A.Reporta a la Gerencia de Administración.PRINCIPALES RESPONSABILIDADESAnálisis y conciliación de cuentas contables.Conciliaciones bancarias.Participación en cierres mensuales y reportes contables (balances mensuales y anual).Preparación de información para liquidación mensual de impuestos.Actualización de libros societarios.Nexo con estudio contable externo.Seguimiento de inscripciones y renovaciones.Tareas vinculadas a Comercio Exterior (COMEX). Otras tareas administrativas.REQUISITOS DEL PUESTOSólidos y comprobables conocimientos contables e impositivosFormación académica en curso o finalizada de la carrera de Contador (no excluyente).Se solicitará analítico de materias aprobadas o título y se realizará evaluación técnica.Manejo de herramientas informáticas y sistemas ERP, manejo avanzado de Excel.COMPETENCIASResponsabilidad y compromiso.Capacidad de planificación, organización y control.Trabajo en equipo y colaboración interdisciplinaria.Comunicación efectiva (oral y escrita).Se valorará conocimientos básicos de inglés.Residencia en CABA (preferentemente).LUGAR DE TRABAJOC.A.B.A., Monserrat.MODALIDADPresencial, lunes a viernes 09:00 a 18:00.","DESCRIPCION DEL PUESTOEmpresa líder en equipamiento y soluciones audiológicas busca incorporar un ANALISTA CONTABLE para sus oficinas en C.A.B.A.Reporta a la Gerencia de Administración.PRINCIPALES RESPONSABILIDADESAnálisis y conciliación de cuentas contables.Conciliaciones bancarias.Participación en cierres mensuales y reportes contables (balances mensuales y anual).Preparación de información para liquidación mensual de impuestos.Actualización de libros societarios.Nexo con estudio contable externo.Seguimiento de inscripciones y renovaciones.Tareas vinculadas a Comercio Exterior (COMEX). Otras tareas administrativas.REQUISITOS DEL PUESTOSólidos y comprobables conocimientos contables e impositivosFormación académica en curso o finalizada de la carrera de Contador (no excluyente).Se solicitará analítico de materias aprobadas o título y se realizará evaluación técnica.Manejo de herramientas informáticas y sistemas ERP, manejo avanzado de Excel.COMPETENCIASResponsabilidad y compromiso.Capacidad de planificación, organización y control.Trabajo en equipo y colaboración interdisciplinaria.Comunicación efectiva (oral y escrita).Se valorará conocimientos básicos de inglés.Residencia en CABA (preferentemente).LUGAR DE TRABAJOC.A.B.A., Monserrat.MODALIDADPresencial, lunes a viernes 09:00 a 18:00.","Capital Federal, Buenos Aires",Presencial,Full-time,13-10-2025,22-10-2025 16:45:35,1,False,https://www.zonajobs.com.ar/avisos/2165835,2025-10-22T20:22:03.915509
2165807,,TECNICO ADMINISTRATIVO DE LABORATORIO,Confidencial,True,,"Importante frigorífico exportador, ubicado en el sur del Gran Buenos Aires, se encuentra en la búsqueda de un/a Técnico/a Administrativo/a de Laboratorio para incorporarse a su equipo de trabajo.Requisitos: Experiencia comprobable en la aplicación de la norma ISO 17025. Conocimientos y manejo de técnicas de laboratorio en microbiología. Residencia en zonas aledañas (excluyente). Disponibilidad para trabajo presencial.Condiciones de contratación: Horario laboral: Lunes a viernes de 07:00 a 16:00 hs o de 08:00 a 17:00 hs.📢 ¡Si querés formar parte de nuestro equipo, esperamos tu postulación!","Importante frigorífico exportador, ubicado en el sur del Gran Buenos Aires, se encuentra en la búsqueda de un/a Técnico/a Administrativo/a de Laboratorio para incorporarse a su equipo de trabajo.Requisitos: Experiencia comprobable en la aplicación de la norma ISO 17025. Conocimientos y manejo de técnicas de laboratorio en microbiología. Residencia en zonas aledañas (excluyente). Disponibilidad para trabajo presencial.Condiciones de contratación: Horario laboral: Lunes a viernes de 07:00 a 16:00 hs o de 08:00 a 17:00 hs.&#x1f4e2; ¡Si querés formar parte de nuestro equipo, esperamos tu postulación!","Bernal, Buenos Aires",Presencial,Full-time,13-10-2025,17-10-2025 10:18:37,1,False,https://www.zonajobs.com.ar/avisos/2165807,2025-10-22T20:22:03.915600
2165803,53201.0,JEFE/A DE RECURSOS HUMANOS,"Piroska, Deak y Asociados",False,https://imgzj.jobscdn.com/portal/img/empresas/1/static/logoMainPic_53201_bum_v1d70bb52.jpg,"JEFE/A DE RECURSOS HUMANOS – INTERIOR DE MISIONESEmpresa nacional con proyección internacional, líder en su sectorQuiénes somosCompañía argentina con presencia global, reconocida por su calidad, innovación y compromiso con el desarrollo local.El rolReportando al Gerente de RR.HH., tendrás a tu cargo la gestión integral del área en la planta industrial del interior de Misiones, abarcando tanto los aspectos hard (administración, relaciones laborales y gremiales) como los soft (selección, desarrollo, clima y liderazgo).Qué buscamosProfesionales con experiencia generalista en Recursos Humanos en entornos industriales de empresas multinacionales o nacionales de envergadura, con sólida capacidad de liderazgo, autonomía, orientación a resultados y excelentes habilidades interpersonales.Qué ofrecemosIntegrarte a una empresa sólida, dinámica y en expansión, con oportunidades reales de desarrollo profesional y personal. Paquete de beneficios acordes a la posición.RequisitosDisponibilidad para residir en el interior de Misiones.Título universitario en Administración de RR.HH. o afines.Sólida experiencia en posiciones similares, negociaciones sindicales y gestión del área de RRHH en empresas industriales de envergadura.","JEFE/A DE RECURSOS HUMANOS – INTERIOR DE MISIONESEmpresa nacional con proyección internacional, líder en su sectorQuiénes somosCompañía argentina con presencia global, reconocida por su calidad, innovación y compromiso con el desarrollo local.El rolReportando al Gerente de RR.HH., tendrás a tu cargo la gestión integral del área en la planta industrial del interior de Misiones, abarcando tanto los aspectos hard (administración, relaciones laborales y gremiales) como los soft (selección, desarrollo, clima y liderazgo).Qué buscamosProfesionales con experiencia generalista en Recursos Humanos en entornos industriales de empresas multinacionales o nacionales de envergadura, con sólida capacidad de liderazgo, autonomía, orientación a resultados y excelentes habilidades interpersonales.Qué ofrecemosIntegrarte a una empresa sólida, dinámica y en expansión, con oportunidades reales de desarrollo profesional y personal. Paquete de beneficios acordes a la posición.RequisitosDisponibilidad para residir en el interior de Misiones.Título universitario en Administración de RR.HH. o afines.Sólida experiencia en posiciones similares, negociaciones sindicales y gestión del área de RRHH en empresas industriales de envergadura.","Capioví, Misiones",Presencial,Full-time,13-10-2025,17-10-2025 16:35:10,1,False,https://www.zonajobs.com.ar/avisos/2165803,2025-10-22T20:22:03.915739
2161002,596634.0,Seguridad Electronica Tecnico Instalador,Lematron,False,https://imgzj.jobscdn.com/portal/img/empresas/1/static/logoMainPic_596634_bum_v923b9c9b.jpg,"Empresa incorpora de forma inmediata técnicos para instalación, mantenimiento y reparaciones de sistemas de CCTV (tanto analógicos como digitales) configuración de enlaces radiales, troubleshooting de redes básicas, reemplazo de servidores, cámaras de video vigilancia, sistemas de alarmas tanto de intrusión como de incendio, telefonía y redes.Requisitos: Licencia de Conducir automóviles (excluyente) (aclarar en el C.V. la vigencia de la misma. De no estar esta aclaración, el C.V. no se tendrá en cuenta) Edad de 21 a 32 años Preferentemente con residencia en Capital, o zona norte del Gran Buenos Aires. Experiencia como Instalador. Ejemplos: electricidad, electrónica, CCTV, alarmas, cableado estructurado, telefonía etc. (Excluyente) . Conocimiento nivel medio, en redes y computación. (Excluyente) Habilidad para trabajar con herramientas de mano, predisposición para trabajar en equipo y respetar las políticas y procedimientos de la empresa. (Excluyente)Las jornadas laborales para el personal Técnico son de 7:30 hs. a 17:30 hs. de lunes a viernes (con disponibilidad hasta las 19hs)Sus funciones consistirán en:_Realizar instalaciones, mantenimiento y reparaciones de sistemas de CCTV. Configuración de enlaces radiales, resolución de problemas básicos de redes, reemplazo de servidores._Instalación y service de alarmas._Se los asignará a diferentes zonas de trabajo en Capital y GBA, proveyéndoles movilidad de la compañía.Se ofrece:_Capacitación profesional y posibilidades de crecimiento._ Estabilidad laboral._Posibilidad de efectivizar horas extras. Y trabajar los días sábados.Estamos buscando 2 personas que se interesen por su futuro, con ganas de capacitarse y mejorar dentro de una misma empresa. Personas con ambiciones y proyectos a futuro, con un gran sentido de la responsabilidad, que permita mantener nuestro excelente ambiente laboral.","Empresa incorpora de forma inmediata técnicos para instalación, mantenimiento y reparaciones de sistemas de CCTV (tanto analógicos como digitales) configuración de enlaces radiales, troubleshooting de redes básicas, reemplazo de servidores, cámaras de video vigilancia, sistemas de alarmas tanto de intrusión como de incendio, telefonía y redes.Requisitos: Licencia de Conducir automóviles (excluyente) (aclarar en el C.V. la vigencia de la misma. De no estar esta aclaración, el C.V. no se tendrá en cuenta) Edad de 21 a 32 años Preferentemente con residencia en Capital, o zona norte del Gran Buenos Aires. Experiencia como Instalador. Ejemplos: electricidad, electrónica, CCTV, alarmas, cableado estructurado, telefonía etc. (Excluyente) . Conocimiento nivel medio, en redes y computación. (Excluyente) Habilidad para trabajar con herramientas de mano, predisposición para trabajar en equipo y respetar las políticas y procedimientos de la empresa. (Excluyente)Las jornadas laborales para el personal Técnico son de 7:30 hs. a 17:30 hs. de lunes a viernes (con disponibilidad hasta las 19hs)Sus funciones consistirán en:_Realizar instalaciones, mantenimiento y reparaciones de sistemas de CCTV. Configuración de enlaces radiales, resolución de problemas básicos de redes, reemplazo de servidores._Instalación y service de alarmas._Se los asignará a diferentes zonas de trabajo en Capital y GBA, proveyéndoles movilidad de la compañía.Se ofrece:_Capacitación profesional y posibilidades de crecimiento._ Estabilidad laboral._Posibilidad de efectivizar horas extras. Y trabajar los días sábados.Estamos buscando 2 personas que se interesen por su futuro, con ganas de capacitarse y mejorar dentro de una misma empresa. Personas con ambiciones y proyectos a futuro, con un gran sentido de la responsabilidad, que permita mantener nuestro excelente ambiente laboral.","Munro, Buenos Aires",Presencial,Full-time,12-10-2025,21-10-2025 05:58:33,2,False,https://www.zonajobs.com.ar/avisos/2161002,2025-10-22T20:22:03.915918
2165587,610026.0,Asistente de Control de Calidad,Cereal Food,False,,"La Búsqueda se orienta a estudiantes de 2° Año en delante de las carreras de ingeniería o Licenciatura en alimentos y afines que quieran incorporarse al ámbito laboral.Su función principal será asistir en el control de todas las variables de la línea productiva (legales, por ej. Control de peso, sellado, etiquetado, etc.), el establecimiento y verificación de estándares de calidad de las materias primas, procesos y productos terminados, como así también, el seguimiento y mejoras de POES, BPM y monitoreo de PCC.Requisitos: Persona proactiva con: capacidad organizativa, responsabilidad, capacidad de análisis, actitud para trabajar en equipo, predisposición para trabajar con personal de planta y de limpieza directamente.-Manejo de Excel intermedio.-Manejo de BPM.-Conocimiento de HACCP preferentemente.","La Búsqueda se orienta a estudiantes de 2° Año en delante de las carreras de ingeniería o Licenciatura en alimentos y afines que quieran incorporarse al ámbito laboral.Su función principal será asistir en el control de todas las variables de la línea productiva (legales, por ej. Control de peso, sellado, etiquetado, etc.), el establecimiento y verificación de estándares de calidad de las materias primas, procesos y productos terminados, como así también, el seguimiento y mejoras de POES, BPM y monitoreo de PCC.Requisitos: Persona proactiva con: capacidad organizativa, responsabilidad, capacidad de análisis, actitud para trabajar en equipo, predisposición para trabajar con personal de planta y de limpieza directamente.-Manejo de Excel intermedio.-Manejo de BPM.-Conocimiento de HACCP preferentemente.","Buenos Aires, Buenos Aires",Presencial,Full-time,08-10-2025,22-10-2025 12:02:51,2,False,https://www.zonajobs.com.ar/avisos/2165587,2025-10-22T20:22:03.916007
2165239,669758.0,Vendedor Senior,MEGUI S.A.,False,,"Importante concesionario Oficial Chevrolet, busca incorporar Vendedor Senior, para sus sucursales en San Miguel, Cañuelas y Canning.Responsabilidades: Gestionar el ciclo completo de la venta: desde la captación de leads hasta el cierre y la entrega del vehículo. Generación de oportunidades comerciales propias y seguimiento de leads asignados. Asesoramiento integral durante el proceso de compra: financiación, seguros, documentación, etc. Administrar la cartera de clientes propios, fomentando la fidelización y recompra Cumplimiento de objetivos mensuales y trimestrales.Requisitos: Experiencia comprobable como vendedor/a en concesionarios oficiales (excluyente). Excelente presencia y habilidades de negociación. Manejo fluido de herramientas digitales y CRM. Perfil proactivo, autónomo y enfocado en resultados. Residir en zona Canning o alrededores preferentemente.","Importante concesionario Oficial Chevrolet, busca incorporar Vendedor Senior, para sus sucursales en San Miguel, Cañuelas y Canning.Responsabilidades: Gestionar el ciclo completo de la venta: desde la captación de leads hasta el cierre y la entrega del vehículo. Generación de oportunidades comerciales propias y seguimiento de leads asignados. Asesoramiento integral durante el proceso de compra: financiación, seguros, documentación, etc. Administrar la cartera de clientes propios, fomentando la fidelización y recompra Cumplimiento de objetivos mensuales y trimestrales.Requisitos: Experiencia comprobable como vendedor/a en concesionarios oficiales (excluyente). Excelente presencia y habilidades de negociación. Manejo fluido de herramientas digitales y CRM. Perfil proactivo, autónomo y enfocado en resultados. Residir en zona Canning o alrededores preferentemente.","Canning, Buenos Aires",Presencial,Full-time,06-10-2025,22-10-2025 08:23:39,1,False,https://www.zonajobs.com.ar/avisos/2165239,2025-10-22T20:22:03.916097
2165137,,Responsable de Administración y Finanzas – Gestión Integral,Confidencial,True,,"Empresa: Importante Mutual BancariaBuscamos un/a Responsable de Administración y Finanzas para liderar la gestión integral del área, con capacidad de conducción, planificación y organización. La posición requiere un perfil proactivo, con habilidades de liderazgo, que acompañe el proceso de modernización institucional en curso.Misión del puesto Coordinar la gestión administrativo-financiera de la Mutual, asegurando eficiencia y cumplimiento normativo.Principales desafíos Gestionar procesos administrativos y financieros (contabilidad, tesorería, RRHH y compras). Elaborar reportes de gestión, presupuestos y flujo de fondos. Controlar liquidaciones de sueldos y cargas sociales. Asegurar cumplimiento impositivo y normativo. Mantener vínculo fluido con el estudio contable externo.Requisitos excluyentes Graduado/a en Contador Público, Administración o afines. Mínimo 2 años de experiencia en puestos similares. Conocimientos sólidos en gestión contable y financiera. Manejo avanzado de Excel y herramientas de gestión (valorado ONVIO). Experiencia en liderazgo de equipos.Competencias valoradas Capacidad analítica y orientación al detalle. Proactividad, autonomía y buena comunicación interpersonal.Ofrecemos Posición desafiante con impacto directo en la organización. Ambiente de trabajo cálido y colaborativoZona y jornada de trabajo: Jornada de trabajo: tiempo completo y 100% presencial Zona de trabajo: MicrocentroSi considerás que cumplís con el perfil y te interesa el desafío, envianos tu CV actualizado indicando remuneración pretendida.","Empresa: Importante Mutual BancariaBuscamos un/a Responsable de Administración y Finanzas para liderar la gestión integral del área, con capacidad de conducción, planificación y organización. La posición requiere un perfil proactivo, con habilidades de liderazgo, que acompañe el proceso de modernización institucional en curso.Misión del puesto Coordinar la gestión administrativo-financiera de la Mutual, asegurando eficiencia y cumplimiento normativo.Principales desafíos Gestionar procesos administrativos y financieros (contabilidad, tesorería, RRHH y compras). Elaborar reportes de gestión, presupuestos y flujo de fondos. Controlar liquidaciones de sueldos y cargas sociales. Asegurar cumplimiento impositivo y normativo. Mantener vínculo fluido con el estudio contable externo.Requisitos excluyentes Graduado/a en Contador Público, Administración o afines. Mínimo 2 años de experiencia en puestos similares. Conocimientos sólidos en gestión contable y financiera. Manejo avanzado de Excel y herramientas de gestión (valorado ONVIO). Experiencia en liderazgo de equipos.Competencias valoradas Capacidad analítica y orientación al detalle. Proactividad, autonomía y buena comunicación interpersonal.Ofrecemos Posición desafiante con impacto directo en la organización. Ambiente de trabajo cálido y colaborativoZona y jornada de trabajo: Jornada de trabajo: tiempo completo y 100% presencial Zona de trabajo: MicrocentroSi considerás que cumplís con el perfil y te interesa el desafío, envianos tu CV actualizado indicando remuneración pretendida.","Capital Federal, Buenos Aires",Presencial,Full-time,03-10-2025,22-10-2025 09:07:07,1,True,https://www.zonajobs.com.ar/avisos/2165137,2025-10-22T20:22:03.916242
2157528,674756.0,Ejecutivo/a Comercial Senior – Servicios Logísticos,San Martin Group,False,https://imgzj.jobscdn.com/portal/img/empresas/1/static/logoMainPic_674756_bum_v8066f53c.jpg,"San Martín Group incorpora un/a Ejecutivo/a Comercial Senior 100 % orientado/a a la generación y cierre de nuevos negocios para nuestras unidades de: Depósito y almacenamiento Transporte y distribución Soluciones tecnológicas (WMS / TMS / integraciones e-commerce)El desafío principal será captar y desarrollar clientes medianos y grandes en los sectores Industria & Manufactura, Oil & Gas, Alimentos & Bebidas y Tecnología, asegurando el cumplimiento del presupuesto anual de ventas.Responsabilidades clave Prospección activa (LinkedIn, networking, ferias, visitas a parques industriales) y calificación de leads. Diseño y presentación de propuestas comerciales a medida. Negociación de condiciones, márgenes y contratos hasta el cierre. Coordinación de pruebas piloto y hand-over a Operaciones y Customer Success. Gestión integral del pipeline y forecast en CRM. Reporte periódico de KPI de adquisición y facturación. Monitoreo de mercado y competencia, proponiendo mejoras en la oferta.Requisitos ≥ 3 años vendiendo servicios logísticos B2B (3PL, warehousing, transporte o tech supply-chain). Red de contactos activa en alguno de los sectores objetivo. Historial comprobable de cumplimiento / superación de cuotas de venta. Conocimiento de procesos de depósito, WMS/TMS y cadena de suministro end-to-end. Manejo de CRM (HubSpot, Salesforce o similar) y Excel avanzado. Movilidad propia y disponibilidad para viajar dentro del país. Título universitario en Comercialización, Logística, Ingeniería o afines (deseable). Inglés intermedio.","San Martín Group incorpora un/a Ejecutivo/a Comercial Senior 100 % orientado/a a la generación y cierre de nuevos negocios para nuestras unidades de: Depósito y almacenamiento Transporte y distribución Soluciones tecnológicas (WMS / TMS / integraciones e-commerce)El desafío principal será captar y desarrollar clientes medianos y grandes en los sectores Industria & Manufactura, Oil & Gas, Alimentos & Bebidas y Tecnología, asegurando el cumplimiento del presupuesto anual de ventas.Responsabilidades clave Prospección activa (LinkedIn, networking, ferias, visitas a parques industriales) y calificación de leads. Diseño y presentación de propuestas comerciales a medida. Negociación de condiciones, márgenes y contratos hasta el cierre. Coordinación de pruebas piloto y hand-over a Operaciones y Customer Success. Gestión integral del pipeline y forecast en CRM. Reporte periódico de KPI de adquisición y facturación. Monitoreo de mercado y competencia, proponiendo mejoras en la oferta.Requisitos ≥ 3 años vendiendo servicios logísticos B2B (3PL, warehousing, transporte o tech supply-chain). Red de contactos activa en alguno de los sectores objetivo. Historial comprobable de cumplimiento / superación de cuotas de venta. Conocimiento de procesos de depósito, WMS/TMS y cadena de suministro end-to-end. Manejo de CRM (HubSpot, Salesforce o similar) y Excel avanzado. Movilidad propia y disponibilidad para viajar dentro del país. Título universitario en Comercialización, Logística, Ingeniería o afines (deseable). Inglés intermedio.","Moreno, Buenos Aires",Presencial,Full-time,01-10-2025,21-10-2025 19:33:15,1,False,https://www.zonajobs.com.ar/avisos/2157528,2025-10-22T20:22:03.916417
2164971,566924.0,Contador/a Especialista en Impuestos,ZyS Factors S.A.,False,https://imgzj.jobscdn.com/portal/img/empresas/1/static/logoMainPic_566924_bum_vb09d6d59.jpg,"Puesto: Asistente de ImpuestosHorario: Lunes a viernes de 9 a 17 hsModalidad: HíbridaPrincipales responsabilidades Coordinar y dar soporte en procesos de auditorías impositivas. Preparar y revisar informes mensuales y reportes de gestión. Gestionar presentaciones ante organismos nacionales y provinciales. Atender fiscalizaciones y requerimientos impositivos. Coordinar y supervisar las tareas del equipo, brindando soporte técnico y organizativo.Requisitos Contador/a Público recibido o estudiante avanzado próximo a graduarse. Experiencia mínima de 2 años en el área de impuestos (excluyente). Capacidad para coordinar y dar seguimiento al cumplimiento de tareas. Manejo avanzado de Excel (tablas dinámicas, fórmulas y cruces de datos). Buen manejo de paquete Office. Perfil analítico, orientado a resultados y resolución de problemas.Competencias valoradas Experiencia en presentaciones ante organismos nacionales y fiscos provinciales. Flexibilidad y proactividad para adaptarse a diferentes prioridades. Responsabilidad, compromiso e iniciativa en la toma de decisiones. Organización, capacidad de gestión y predisposición al trabajo en equipo. Adaptación a entornos dinámicos.Si te identificás con el perfil y te interesa la propuesta, esperamos tu CV para ser evaluado indicando remuneracion pretendida.","Puesto: Asistente de ImpuestosHorario: Lunes a viernes de 9 a 17 hsModalidad: HíbridaPrincipales responsabilidades Coordinar y dar soporte en procesos de auditorías impositivas. Preparar y revisar informes mensuales y reportes de gestión. Gestionar presentaciones ante organismos nacionales y provinciales. Atender fiscalizaciones y requerimientos impositivos. Coordinar y supervisar las tareas del equipo, brindando soporte técnico y organizativo.Requisitos Contador/a Público recibido o estudiante avanzado próximo a graduarse. Experiencia mínima de 2 años en el área de impuestos (excluyente). Capacidad para coordinar y dar seguimiento al cumplimiento de tareas. Manejo avanzado de Excel (tablas dinámicas, fórmulas y cruces de datos). Buen manejo de paquete Office. Perfil analítico, orientado a resultados y resolución de problemas.Competencias valoradas Experiencia en presentaciones ante organismos nacionales y fiscos provinciales. Flexibilidad y proactividad para adaptarse a diferentes prioridades. Responsabilidad, compromiso e iniciativa en la toma de decisiones. Organización, capacidad de gestión y predisposición al trabajo en equipo. Adaptación a entornos dinámicos.Si te identificás con el perfil y te interesa la propuesta, esperamos tu CV para ser evaluado indicando remuneracion pretendida.","Capital Federal, Buenos Aires",Híbrido,Full-time,01-10-2025,01-10-2025 20:15:20,1,False,https://www.zonajobs.com.ar/avisos/2164971,2025-10-22T20:22:03.916708
2164969,566924.0,Asistente de Impuestos,ZyS Factors S.A.,False,https://imgzj.jobscdn.com/portal/img/empresas/1/static/logoMainPic_566924_bum_vb09d6d59.jpg,"Puesto: Asistente de Impuestos Horario: Lunes a viernes de 9 a 17 hs Modalidad: HíbridaPrincipales responsabilidades Asistir en la preparación de presentaciones ante organismos nacionales y fiscos provinciales. Gestionar y dar seguimiento a expedientes y trámites impositivos. Colaborar en procesos de auditorías fiscales, informes mensuales y reportes de gestión.Requisitos Estudiante avanzado o próximo a graduarse de Contador Público o Lic. en Administración de Empresas. Experiencia previa en el área de impuestos (deseable). Buen manejo de paquete Office, especialmente Excel (tablas dinámicas, fórmulas y cruces de datos).Competencias valoradas Experiencia en presentaciones ante organismos nacionales y fiscos provinciales. Capacidad de adaptarse a diferentes tareas y prioridades en simultáneo. Proactividad, responsabilidad y autonomía. Organización, gestión de agenda y predisposición al trabajo en equipo. Adaptación a cambios en entornos dinámicos.Si te identificás con el perfil y te interesa la propuesta, esperamos tu CV para ser evaluado indicando remuneracion pretendida.","Puesto: Asistente de Impuestos Horario: Lunes a viernes de 9 a 17 hs Modalidad: HíbridaPrincipales responsabilidades Asistir en la preparación de presentaciones ante organismos nacionales y fiscos provinciales. Gestionar y dar seguimiento a expedientes y trámites impositivos. Colaborar en procesos de auditorías fiscales, informes mensuales y reportes de gestión.Requisitos Estudiante avanzado o próximo a graduarse de Contador Público o Lic. en Administración de Empresas. Experiencia previa en el área de impuestos (deseable). Buen manejo de paquete Office, especialmente Excel (tablas dinámicas, fórmulas y cruces de datos).Competencias valoradas Experiencia en presentaciones ante organismos nacionales y fiscos provinciales. Capacidad de adaptarse a diferentes tareas y prioridades en simultáneo. Proactividad, responsabilidad y autonomía. Organización, gestión de agenda y predisposición al trabajo en equipo. Adaptación a cambios en entornos dinámicos.Si te identificás con el perfil y te interesa la propuesta, esperamos tu CV para ser evaluado indicando remuneracion pretendida.","Capital Federal, Buenos Aires",Híbrido,Full-time,01-10-2025,03-10-2025 17:28:11,1,False,https://www.zonajobs.com.ar/avisos/2164969,2025-10-22T20:22:03.916834
