id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type,scrapeado_en,fuente,search_term_usado,experiencia_min_anios,experiencia_max_anios,experiencia_area,nivel_educativo,estado_educativo,carrera_especifica,titulo_excluyente,idioma_principal,nivel_idioma_principal,idioma_secundario,nivel_idioma_secundario,skills_tecnicas_list,niveles_skills_list,soft_skills_list,certificaciones_list,salario_min,salario_max,moneda,beneficios_list,requisitos_excluyentes_list,requisitos_deseables_list,jornada_laboral,horario_flexible,nlp_extraction_timestamp,nlp_version,nlp_confidence_score
in-69e971e36e86b625,indeed,https://www.indeed.com/viewjob?jk=69e971e36e86b625,https://medtronic.wd1.myworkdayjobs.com/en-US/MedtronicCareers/job/Humacao-Puerto-Rico-United-States-of-America/Principal-Bus-Proc-Impvmt-Analyst_R48213-1,Principal Bus Proc Impvmt Analyst,Medtronic,"PR, US",1761177600000,fulltime,,,,,,False,,,,,"At Medtronic you can begin a life\-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world.


**A Day in the Life**
=====================

The Sr. Business Process Analyst plays a key role in evaluating, designing, and optimizing business processes across the organization. This position collaborates with cross\-functional teams to identify areas for improvement, analyze data, develop solutions, and implement process enhancements that drive operational efficiency and support strategic objectives. The ideal candidate has strong analytical skills, experience in process mapping and project management, and the ability to communicate effectively with stakeholders at all levels.
Responsibilities may include the following and other duties may be assigned.


* Plans, performs and implements process improvement initiatives (such as Lean or Six Sigma).
* Diagrams and evaluates existing processes.
* Organizes, leads and facilitates cross\-functional project teams.
* Develops metrics that provide data for process measurement, identifying indicators for future improvement opportunities.
* Collects data to identify root cause of problems.
* Measures performance against process requirements.
* Aligns improvement to performance shortfalls.
* Provides consultation on the use of re\-engineering techniques to improve process performance and product quality.
* May deliver presentations and training courses including measurement, analysis, improvement and control.
* Surveys and analyzes best practices for techniques and processes.
* Communicates team progress.
* Performs cost and benefit analyses.

**Required Knowledge and Experience:** Requires mastery of a specialty area and full knowledge of industry practices, typically obtained through advanced education combined with experience.
  

May have broad knowledge of project management.
  

Requires a Baccalaureate degree (or for degrees earned outside of the United States, a degree which satisfies the requirements of 8 C.F.R. § 214\.2(h)( 4\)(iii)(A) and minimum 7 years of relevant experience, or advanced degree with a minimum of 5 years of relevant experience.


**Physical Job Requirements**

The above statements are intended to describe the general nature and level of work being performed by employees assigned to this position, but they are not an exhaustive list of all the required responsibilities and skills of this position.


The physical demands described within the Responsibilities section of this job description are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. For Office Roles: While performing the duties of this job, the employee is regularly required to be independently mobile. The employee is also required to interact with a computer, and communicate with peers and co\-workers. Contact your manager or local HR to understand the Work Conditions and Physical requirements that may be specific to each role.


**Benefits \& Compensation**
============================

**Medtronic offers a competitive Salary and flexible Benefits Package**  

A commitment to our employees lives at the core of our values. We recognize their contributions. They share in the success they help to create. We offer a wide range of benefits, resources, and competitive compensation plans designed to support you at every career and life stage.  

  



This position is eligible for a short\-term incentive called the Medtronic Incentive Plan (MIP).


**About Medtronic**
===================

We lead global healthcare technology and boldly attack the most challenging health problems facing humanity by searching out and finding solutions.
  

Our Mission — to alleviate pain, restore health, and extend life — unites a global team of 95,000\+ passionate people.
  

We are engineers at heart— putting ambitious ideas to work to generate real solutions for real people. From the R\&D lab, to the factory floor, to the conference room, every one of us experiments, creates, builds, improves and solves. We have the talent, diverse perspectives, and guts to engineer the extraordinary.

  

  



It is the policy of Medtronic to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, Medtronic will provide reasonable accommodations for qualified individuals with disabilities.


If you are applying to perform work for Medtronic, Inc. (“Medtronic”) in any position which will involve performing at least two (2\) hours of work on average each week within the unincorporated areas of Los Angeles County, you can find **here** a list of all material job duties of the specific job position which Medtronic reasonably believes that criminal history may have a direct, adverse and negative relationship potentially resulting in the withdrawal of a conditional offer of employment. Medtronic will consider for employment qualified job applicants with arrest or conviction records in accordance with the Los Angeles County Fair Chance Ordinance for Employers and the California Fair Chance Act.",,https://www.indeed.com/cmp/Medtronic,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/78828b704431b1c10caa524c081f9932,http://www.medtronic.com/,,"10,000+",more than $10B (USD),"CAREERS THAT CHANGE LIVES Do meaningful work, make a difference, and improve lives.",,,,,,,2025-10-23T14:14:38.441697,indeed,,5.0,,,universitario,,,False,,,,,['office'],,,,,,,,"['Required Knowledge and Experience: Requires mastery of a specialty area and full knowledge of industry practices, typically obtained through advanced education combined with experience.', 'The above statements are intended to describe the general nature and level of work being performed by employees assigned to this position, but they are not an exhaustive list of all the required responsibilities and skills of this position.', 'The physical demands described within the Responsibilities section of this job description are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. For Office Roles: While performing the duties of this job, the employee is regularly required to be independently mobile. The employee is also required to interact with a computer, and communicate with peers and co\\-workers. Contact your manager or local HR to understand the Work Conditions and Physical requirements that may be specific to each role.']",,,,2025-10-25T13:51:08.542880,1.0.0,0.343
in-f8bf3bb8093c0e50,indeed,https://www.indeed.com/viewjob?jk=f8bf3bb8093c0e50,https://medtronic.wd1.myworkdayjobs.com/en-US/MedtronicCareers/job/Juncos-Puerto-Rico-United-States-of-America/Facilities-Maintenance-Tech-I_R49318-2,Facilities Maintenance Tech I,Medtronic,"PR, US",1761177600000,fulltime,,,,,,False,,,,,"At Medtronic you can begin a life\-long career of exploration and innovation, while helping champion healthcare access and equity for all. You’ll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world.


**A Day in the Life**
=====================

This position is an exciting opportunity to work with Medtronic's Diabetes business. Medtronic has announced its intention to separate the Diabetes division to promote future growth and innovation within the business and reallocate investments and resources across Medtronic, subject to applicable information and consultation requirements. This separation provides our team with a bold opportunity to unleash our potential, enabling us to operate with greater speed and agility. As a separate entity, we anticipate leveraging increased investments to drive meaningful innovation and enhance our impact on patient care.
  

  

A Facility Technician is tasked with ensuring the optimal functionality and safety of facility operations by conducting maintenance and repair work on both the infrastructure and equipment. This role involves utilizing a variety of tools to perform tasks that include, but are not limited to, electrical and plumbing repairs, HVAC system maintenance, and thorough equipment inspections. The technician is adept at handling complex machinery and systems such as generators, air compressors, vacuum pumps, chillers, and cooling towers, among others, to ensure seamless facility operations.
Responsibilities may include the following and other duties may be assigned.


3rd Shift: Sunday to Thursday 10:00PM to 6:00AM


* Performs repairs and maintenance in plant or office facilities, or on machines and equipment.
* Typically performs work in one or more of the maintenance trades: carpentry, plumbing, painting, machine and equipment repair, electrical, sheet metal fabrication, and welding.
* Conducts routine, periodic, or special inspections to determine repair and maintenance work necessary to prevent breakdowns of facilities, machinery, and equipment.
* Uses hand and power tools.
* Tests, inspects, troubleshoots, and repairs machines and equipment.
* Uses blueprints, sketches, layouts, wiring diagrams, drawings, and specifications.

Must Have: Minimum Requirements


* Requires high school diploma or equivalent (United States), vocational or technical education or certification (all other countries).
* 0 years of experience required.

Nice to Have:


* Licensed Electrician
* Licensed Refrigeration Technician
* OSHA 30 Construction Certification

**Physical Job Requirements**

The above statements are intended to describe the general nature and level of work being performed by employees assigned to this position, but they are not an exhaustive list of all the required responsibilities and skills of this position.


The physical demands described within the Responsibilities section of this job description are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. For Office Roles: While performing the duties of this job, the employee is regularly required to be independently mobile. The employee is also required to interact with a computer, and communicate with peers and co\-workers. Contact your manager or local HR to understand the Work Conditions and Physical requirements that may be specific to each role.


**Benefits \& Compensation**
============================

**Medtronic offers a competitive Salary and flexible Benefits Package**  

A commitment to our employees lives at the core of our values. We recognize their contributions. They share in the success they help to create. We offer a wide range of benefits, resources, and competitive compensation plans designed to support you at every career and life stage.  

  



This position is eligible for a short\-term incentive called the Medtronic Incentive Plan (MIP).


**About Medtronic**
===================

We lead global healthcare technology and boldly attack the most challenging health problems facing humanity by searching out and finding solutions.
  

Our Mission — to alleviate pain, restore health, and extend life — unites a global team of 95,000\+ passionate people.
  

We are engineers at heart— putting ambitious ideas to work to generate real solutions for real people. From the R\&D lab, to the factory floor, to the conference room, every one of us experiments, creates, builds, improves and solves. We have the talent, diverse perspectives, and guts to engineer the extraordinary.

  

  



It is the policy of Medtronic to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, Medtronic will provide reasonable accommodations for qualified individuals with disabilities.


If you are applying to perform work for Medtronic, Inc. (“Medtronic”) in any position which will involve performing at least two (2\) hours of work on average each week within the unincorporated areas of Los Angeles County, you can find **here** a list of all material job duties of the specific job position which Medtronic reasonably believes that criminal history may have a direct, adverse and negative relationship potentially resulting in the withdrawal of a conditional offer of employment. Medtronic will consider for employment qualified job applicants with arrest or conviction records in accordance with the Los Angeles County Fair Chance Ordinance for Employers and the California Fair Chance Act.",,https://www.indeed.com/cmp/Medtronic,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/78828b704431b1c10caa524c081f9932,http://www.medtronic.com/,,"10,000+",more than $10B (USD),"CAREERS THAT CHANGE LIVES Do meaningful work, make a difference, and improve lives.",,,,,,,2025-10-23T14:14:38.441697,indeed,,0.0,,,secundario,,,False,,,,,['office'],,,,,,,,"['Must Have: Minimum Requirements', '0 years of experience required.', 'The above statements are intended to describe the general nature and level of work being performed by employees assigned to this position, but they are not an exhaustive list of all the required responsibilities and skills of this position.', 'The physical demands described within the Responsibilities section of this job description are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. For Office Roles: While performing the duties of this job, the employee is regularly required to be independently mobile. The employee is also required to interact with a computer, and communicate with peers and co\\-workers. Contact your manager or local HR to understand the Work Conditions and Physical requirements that may be specific to each role.']",,,,2025-10-25T13:51:08.558425,1.0.0,0.343
in-f44c9e0477e57be1,indeed,https://www.indeed.com/viewjob?jk=f44c9e0477e57be1,http://www.indeed.com/job/mesero-bartender-host-applebees-carolina-31-octubre-f44c9e0477e57be1,"Mesero/a, Bartender, Host- Applebee's Carolina- 31 octubre",Grupo Colon Gerena,"Carolina, PR, US",1761177600000,"parttime, fulltime",direct_data,hourly,10.0,12.0,USD,False,,,,,"Atrévete a ser extraordinario y únete al mejor Bar and Grill de Puerto Rico, Applebee's Escorial está en búsqueda de personal para el Area de servicio

\- Host\- $10\.50

\- Meseros/as y Bartender $12\.00 aprox con propina

Contamos con

* Posiciones a tiempo parcial
* Posiciones a tiempo completo, plan médico con aportación
* Descuentos en comida
* Programa de Referido de Empleados
* Horarios Rotativos

***Visítanos el 31 de octubre de 2025, de 9:00 am a 4:00 pm, o los lunes de 11:00 am a 4:00pm para iniciar el proceso de reclutamiento.***

Contamos contigo para que seas parte del Grupo Colón Gerena, el grupo que transforma marcas conocidas en marcas extraordinarias.

EOE/M/F/D/V/S

Job Types: Full\-time, Part\-time

Pay: $10\.50 \- $12\.00 per hour

Expected hours: 25 per week

Benefits:

* Dental insurance
* Employee discount
* Flexible schedule
* Food provided
* Health insurance
* Referral program

People with a criminal record are encouraged to apply

Work Location: In person",,https://www.indeed.com/cmp/Grupo-Colon-Gerena,,,San Juan,"5,001 to 10,000",,,,,,,,,2025-10-23T14:14:38.441697,indeed,,,,,,completo,,,,,,,,,,,,,,,,,full_time,True,2025-10-25T13:51:08.561046,1.0.0,0.171
in-2e5c456a42a8070d,indeed,https://www.indeed.com/viewjob?jk=2e5c456a42a8070d,http://www.indeed.com/job/delineante-area-de-guaynabo-2e5c456a42a8070d,DELINEANTE AREA DE GUAYNABO,"Caribbean Temporary Services, LLC.","San Juan, PR, US",1761177600000,"temporary, fulltime, contract",,hourly,,,USD,False,,,,,"**BUSCAS TRABAJO COMO DELINEANTE ¡UNETE A LA GRAN FAMILIA DE CTS!**

*Guaynabo*

**Requisitos:**

* Grado Universitario completado.
* Conocimiento de AUTOCAD es requerido.
* Experiencia en Mensuras y Agrimensura de Terrenos.

**Horario:** lunes a viernes 8:30am \- 5:30pm / Puede trabajar algún sábado de ser requerido.

**Patrono con igualdad de oportunidades en el empleo \*\*EEO\*\***

**\*\* Beneficios \*\***

* **Pago semanal \*\*Deposito directo disponible**
* **Bono de navidad (si cualificas con las horas establecidas por ley)**
* **Acumulación de vacaciones/ enfermedad (segun aplique)**

**Equality Employment Opportunity \*\*EEO\*\* Affirmative Action for Minorities/Females/ Veterans/ People with disabilities. Employer with E\-Verify to verify the elegibility of employment of all the new employees.**

**We encourage Females, Veterans and Disabled to Apply**

Job Types: Full\-time, Contract, Temporary

Pay: $13\.00 per hour

Work Location: In person",,"https://www.indeed.com/cmp/Caribbean-Temporary-Services,-Llc.-3",,,,,,,,,,,,,2025-10-23T14:14:38.441697,indeed,,,,mensuras y agrimensura de terrenos,,,,,,,,,,,,,,,,,,,,,2025-10-25T13:51:08.563849,1.0.0,0.1
in-f5a389de98576813,indeed,https://www.indeed.com/viewjob?jk=f5a389de98576813,http://www.indeed.com/job/asistente-de-cocina-comedor-escolar-f5a389de98576813,"Asistente de Cocina, Comedor Escolar",TPIS,"San Juan, PR, US",1761177600000,"fulltime, contract",,hourly,,,USD,False,,,,,"¿Eres un apasionado/a a la cocina y estas orientado/a al servicio? Este empleo es para ti.

**Descripción:**

El asistente de cocina se encarga de preparar los alimentos que los niños consumen en el comedor escolar.

**Responsabilidades:**

* Mantener el almacenaje de alimento de acuerdo con los normas y procedimientos incluyendo límites de mínimos y máximos, fechas de caducidad y ubicación adecuada, entre otros.
* Fregar, mantener los pisos limpios y los alrededores.
* Preparar alimentos según normas establecidas.
* Preparar los alimentos individualmente para ser entregado.
* Entregar los alimentos a los niños.
* Limpiar su área de empleo.
* Seguir las normas de salud y seguridad establecidas.
* Evaluar la calidad de los alimentos a ser confeccionados.
* Seguir las instrucciones de su supervisor a cargo.

**Requisitos:**

Tramitar los siguientes documentos:

* Certificado ley 300 Certificado de salud con cultivo de garganta
* Certificado de Inocuidad de alimentos
* Certificado de Vacunas contra el Covid\-19 (3 dosis)
* Certificado de Escuela Superior
* Resume a la mano
* Certificación de Radicación de planillas
* Certificación de Asume

**Disponibilidad:** Lunes a viernes de 6:00 a.m. 3:30 p.m. (37\.5 horas)

Job Types: Full\-time, Contract

Pay: $10\.50 per hour

Ability to Relocate:

* San Juan, PR 00901: Relocate before starting work (Required)

Work Location: In person",,https://www.indeed.com/cmp/Tpis-3,,,,,,,,,,,,,2025-10-23T14:14:38.441697,indeed,,,,,,,,,,,,,,,,,,,,,"['* San Juan, PR 00901: Relocate before starting work (Required)']",,,,2025-10-25T13:51:08.567169,1.0.0,0.129
in-21e775cc4de1d69d,indeed,https://www.indeed.com/viewjob?jk=21e775cc4de1d69d,http://www.indeed.com/job/promotor-de-apoyo-en-transporte-infantil-21e775cc4de1d69d,Promotor(a) de Apoyo en Transporte Infantil,TPIS,"San Juan, PR, US",1761177600000,fulltime,,hourly,,,USD,False,,,,,"**Resumen del puesto:**

El(la) Facilitador(a) de Servicios – Transportación es responsable de asegurar la entrega segura y eficiente de materiales, alimentos, equipos y documentos necesarios para el funcionamiento de los centros del programa a nivel isla. Además de conducir vehículos oficiales, brinda apoyo logístico, colabora en actividades educativas y comunitarias, y participa en la organización de eventos y actividades lúdico\-educativas con la niñez y sus familias. Este puesto contribuye al funcionamiento integral de los servicios educativos, de salud, nutrición y familia, garantizando que las operaciones cumplan con las Normas de Desempeño.

**Responsabilidades:**

* Conduce vehículos oficiales del programa a nivel isla.
* Apoya en la entrega, distribución y recogido de materiales, alimentos, suministros y documentos oficiales entre los centros y la oficina central.
* Realiza el mantenimiento preventivo básico del vehículo asignado e informa cualquier situación mecánica o de seguridad que requiera atención.
* Asiste en actividades y eventos del programa, brindando apoyo en la organización, montaje, transportación y logística general.
* Colabora en la preparación y organización de materiales educativos y de apoyo para las aulas y las familias.
* Mantiene inventarios básicos de materiales y equipos asignados, asegurando su uso adecuado y disponibilidad.
* Apoya al personal docente y administrativo en tareas operacionales o logísticas según se requiera.
* Mantiene comunicación efectiva con el personal, demostrando respeto, colaboración y sensibilidad hacia la niñez preescolar y sus familias.
* Cumple con las políticas, procedimientos y reglamentos del programa, incluyendo confidencialidad, seguridad y uso adecuado de recursos.
* Participa en reuniones, capacitaciones y actividades de desarrollo profesional según sea requerido.
* Realizar actividades ludico educativas, mediante disfraz de un personaje interactivo con la niñez y familias servidas.
* Realiza informes de alcance del programa

**Requisitos:**

* Grado asociado en educación, administración o área relacionada.
* Experiencia previa en funciones similares, preferiblemente en entornos educativos o comunitarios.
* Experiencia en la conducción de vehículos oficiales o de carga liviana a nivel isla.
* Licencia de conducir vigente y récord de conducir limpio.
* Experiencia en conducir a largas distancias y manejo seguro de vehículos grandes o de carga liviana.
* Conocimientos básicos en Microsoft Office (Word, Excel, Outlook) y destrezas generales en el uso de computadoras.
* Destrezas de organización, manejo del tiempo y priorización de tareas.
* Capacidad para trabajar con personal de diferentes áreas e interactuar positivamente con niños y familias.
* Disponibilidad completa, incluyendo horarios variables y viajes a distintas regiones de la isla según las necesidades operacionales del programa.
* Disponibilidad y disposición para disfrazarse de personaje interactivo.
* El puesto requiere movilidad frecuente entre centros a nivel isla, conducción prolongada, levantamiento de materiales de peso moderado y exposición a diferentes entornos escolares y comunitarios.

Job Type: Full\-time

Pay: $13\.19 per hour

Work Location: In person",,https://www.indeed.com/cmp/Tpis-3,,,,,,,,,,,,,2025-10-23T14:14:38.441697,indeed,,,,la conducción de vehículos oficiales o de carga li,,completo,,,,,,,"['excel', 'word', 'office']",,"['comunicación efectiva', 'organización']",,,,,,,,,,2025-10-25T13:51:08.573986,1.0.0,0.243
in-9c28135e67ff0b05,indeed,https://www.indeed.com/viewjob?jk=9c28135e67ff0b05,http://www.indeed.com/job/chofer-de-cami%C3%B3n-9c28135e67ff0b05,Chofer de Camión,TPIS,"Guaynabo, PR, US",1761177600000,fulltime,,hourly,,,USD,False,,,,,"*Estamos en la búsqueda de un chofer experimentado en vehículos pesados, que nos apoye en nuestras rutas de servicio a nivel isla.*

**Tareas del puesto:**

* Conducir diariamente un camión refrigerado para recoger y entregar mercancía.
* Cargar el camión con los pedidos programados del día en el área de almacenamiento congelado.
* Realizar las entregas según la ruta asignada a clientes .
* Recoger en la planta principal la producción diaria, empacada en cajas de 8 pintas.
* Recibir la lista de entregas correspondientes al día siguiente.
* Descargar el camión en el área de congelados, organizando la mercancía por paletas y en orden.
* Preparar los despachos del siguiente día laboral.
* Cuando esté programado, despachar productos a los clientes directamente desde el área de congelados.

**Requisitos del puesto:**

* Diploma de escuela superior.
* Mínimo 2 años de experiencia en la operación de vehículos pesados.
* Licencia de conducir vigente, categoría 8 o superior, emitida por el Gobierno de Puerto Rico.
* Certificación de la Comisión de Servicio Público.
* Récord choferil actualizado.
* Habilidades de comunicación efectiva para interactuar con clientes y el público en general.
* Excelente actitud y destrezas en el servicio al cliente.
* Capacidad para manejar un *pallet jack* y trasladar paletas desde el vagón de almacenaje hasta el camión.
* Disposición para trabajar por períodos prolongados dentro del camión o vagón en temperaturas que oscilan entre 0°F y \-15°F.

**Compensación:**

* $12\.50ph, 40 horas por semana
* Plan Médico
* Días de Vacaciones y Enfermedad
* Bono de Navidad

**Horario:** 

* Horarios rotativos de Lunes a Domingo

Tipo de puesto: Tiempo completo

Sueldo: $12\.50 la hora

Beneficios:

* Flexible schedule
* Health insurance
* Life insurance
* Paid time off
* Retirement plan

Lugar de trabajo: Viajar de manera regular",,https://www.indeed.com/cmp/Tpis-3,,,,,,,,,,,,,2025-10-23T14:14:38.441697,indeed,,2.0,,la operación de vehículos pesados,,completo,,,,,,,,,['comunicación efectiva'],,,,,,,,full_time,True,2025-10-25T13:51:08.577764,1.0.0,0.329
in-7fdf5f9d863a4735,indeed,https://www.indeed.com/viewjob?jk=7fdf5f9d863a4735,http://www.indeed.com/job/vendedor-industrial-en-carolina-7fdf5f9d863a4735,Vendedor Industrial en Carolina,Brand Energy & Infrastructure Services,"Carolina, PR, US",1761177600000,fulltime,,hourly,,,USD,False,,,,,"¡Únete a nuestro dinámico equipo como Representante de Ventas Industriales en Carolina! En este emocionante puesto, estarás al frente del crecimiento empresarial mediante estrategias de ventas innovadoras y un servicio al cliente excepcional. Tu misión será interactuar con los clientes, desarrollar relaciones duraderas y presentar nuestros productos y soluciones de vanguardia. Si te apasionan las ventas industriales y prosperas en un entorno de ritmo acelerado, ¡queremos saber de ti!

**Lo que harás**

* Cultivar y gestionar relaciones con clientes B2B para impulsar el crecimiento de ventas y la satisfacción del cliente.
* Ejecutar estrategias de ventas externas para identificar nuevas oportunidades de negocio y expandir la presencia en el mercado.
* Realizar demostraciones de productos que destaquen las características y beneficios únicos de nuestras soluciones.
* Participar en llamadas en frío y actividades de generación de prospectos para construir una sólida cartera de ventas.
* Negociar contratos y precios para concretar acuerdos asegurando la satisfacción de las necesidades del cliente.
* Brindar un servicio al cliente excepcional durante todo el proceso de ventas, atendiendo consultas y resolviendo problemas de manera oportuna.

**Requisitos básicos**  
**Estudios universitarios completados (preferiblemente)**

**Experiencia comprobada en ventas externas, preferiblemente en los sectores industrial de construcción y eventos.**

* Fuertes habilidades de negociación con historial de cierres de ventas exitosos.
* Familiaridad con Salesforce o software CRM similar para una gestión eficaz de cuentas.

**Requisitos preferidos**

* Experiencia en gestión de territorios y estrategias de ventas directas.
* Experiencia previa en ventas técnicas o demostraciones de productos altamente deseable.
* Excelentes habilidades analíticas para interpretar tendencias del mercado y retroalimentación de los clientes.

**Por qué te encantará trabajar aquí**  
Creemos en empoderar a nuestros empleados para que alcancen su máximo potencial tanto profesional como personalmente. Nuestro compromiso con tu bienestar se refleja en un entorno laboral de apoyo que fomenta el crecimiento, la creatividad y la colaboración.

**Nuestros beneficios incluyen:**

* Programas integrales de salud y bienestar a través de nuestro plan médico.
* Oportunidades de desarrollo profesional y crecimiento en tu carrera.
* Una cultura empresarial vibrante que valora el trabajo en equipo y la innovación.

Beneficios Marginales disponibles.

EEO \- Patrono con igualdad de oportunidades en el empleo

Job Type: Full\-time

Pay: From $15\.00 per hour

Benefits:

* 401(k)
* 401(k) matching
* Company car
* Health insurance

Work Location: In person",,https://www.indeed.com/cmp/Brand-Energy-&-Infrastructure-Services-8,,,,,,,,,,,,,2025-10-23T14:14:38.441697,indeed,,,,gestión de territorios y estrategias de ventas dir,,,,,,,,,['salesforce'],,"['trabajo en equipo', 'creatividad']",,,,,,,['Experiencia previa en ventas técnicas o demostraciones de productos altamente deseable.'],,,2025-10-25T13:51:08.583720,1.0.0,0.257
in-2718fbf0e69aad4a,indeed,https://www.indeed.com/viewjob?jk=2718fbf0e69aad4a,http://www.indeed.com/job/promotor-y-mercadeo-2718fbf0e69aad4a,PROMOTOR Y MERCADEO,Prevention Health Systems LLC,"Carolina, PR, US",1761177600000,fulltime,direct_data,monthly,2400.0,3000.0,USD,False,,,,,"Compañía enfocada en el campo de la salud y bienestar. Buscamos personal para cubrir plazas de Promotores y Mercadeo. No pedimos experiencia previa y ofrecemos entrenamiento completo al personal seleccionado. Ingresos comienzan desde $2,400 mensuales (depende de la posición ) El trabajo tiene flexibilidad de hacerse varios días presenciales y otros remoto. Plazas Part\-Time y Full\-Time disponibles .

Requisitos:

\* Personas auto motivadas y con deseos de crecimiento laboral

\* Transportación propia

\* Buena presencia y excelentes destrezas de comunicación

\* Buenas relaciones interpersonales.

\* Diploma de cuarto año es el mínimo requerido.

\* Certificado de buena conducta y salud serán solicitados

Personas interesadas deben enviar su resumé para evaluación.

Tipo de puesto: Medio tiempo, Por contrato, Tiempo completo

Salario: A partir de $2,400\.00 al mes

Tipo de puesto: Por contrato

Pregunta(s) de postulación:

* Cuenta con trasportación

Disponibilidad de turnos:

* Turno diurno (Deseable)

Lugar de trabajo: Empleo presencial.

Tipo de puesto: Tiempo completo

Sueldo: $2,400\.00 \- $3,000\.00 al mes

Beneficios:

* Flexible schedule

Lugar de trabajo: Empleo presencial",,https://www.indeed.com/cmp/Prevention-Health-Systems-LLC,,,,,,,,,,,,,2025-10-23T14:14:38.441697,indeed,,,,,,completo,,,,,,,,,,,,,,,,['Turno diurno (Deseable)'],full_time,True,2025-10-25T13:51:08.586381,1.0.0,0.214
in-e23773e32cdf29b7,indeed,https://www.indeed.com/viewjob?jk=e23773e32cdf29b7,http://www.indeed.com/job/coordinador-de-marketing-y-contenido-e23773e32cdf29b7,Coordinador/a de Marketing y Contenido,,"San Juan, PR, US",1761177600000,fulltime,,hourly,,,USD,False,,,,estratega@astridvelez.com,"¿Eres una mente creativa que vibra con la innovación, la IA y los proyectos con propósito?

Responsabilidades:

* Diseñar y ejecutar campañas digitales.
* Crear contenido (texto, imagen, video, web) con propósito e impacto.
* Administrar redes (LinkedIn, Instagram y más).
* Analizar métricas y optimizar resultados.

Perfil ideal:

* Experiencia en marketing digital.
* Excelente redacción y storytelling en español e inglés.
* Conocimientos en edición (Canva, Adobe, CapCut).
* Plus: afinidad con IA.

Envía resume a estratega@astridvelez.com

Forma parte de un equipo donde la creatividad y la tecnología se unen para inspirar transformación.

Job Type: Full\-time

Pay: $15\.00 per hour

Benefits:

* Professional development assistance

Work Location: In person",,https://www.indeed.comNone,,,,,,,,,,,,,2025-10-23T14:14:38.441697,indeed,,,,marketing digital,,,,,ingles,,,,,,['creatividad'],,,,,,,['Plus: afinidad con IA.'],,,2025-10-25T13:51:08.588426,1.0.0,0.243
