grupo,id_oferta,titulo,esco_label,isco_code,isco_nivel1,score_final,coverage,confirmado,revision
CONFIRMADO,1118028864,"Analista Administrativo/a – Facturación, Cobros y Pagos (Par",empleado administrativo/empleada administrati,C3343,3,0.6235348582267761,,1,0
CONFIRMADO,1118028887,Account Executive (Hunter),agente de empleo,C3333,3,0.6042782068252563,,1,0
CONFIRMADO,1118026609,Pintor Especializado en cabina de pintura.,vendedor especializado en ferretería y pintur,C5223,5,0.6323844194412231,,1,0
CONFIRMADO,1118027581,Responsable RRHH,responsable de recursos humanos,C2423,2,0.6495960354804993,,1,0
CONFIRMADO,1118028231,Recepción de Materiales - Área de Calidad,inspector de control de calidad de productos ,C7543,7,0.6567064523696899,,1,0
CONFIRMADO,1118027278,Cocinera/o,cocinero/cocinera,C5120,5,0.7017185091972351,,1,0
CONFIRMADO,1118028674,Operaria/o,operario de lavandería/operaria de lavandería,C8157,8,0.6488620042800903,,1,0
CONFIRMADO,1118028047,Desarrollador Mobile,desarrollador de aplicaciones móviles/desarro,C2514,2,0.6682253479957581,,1,0
CONFIRMADO,1118028376,Analista administrativo/a,analista de negocios,C2421,2,0.6301083564758301,,1,0
CONFIRMADO,1118027622,Analista de Compras,analista de estudios de mercado,C2431,2,0.6247066855430603,,1,0
CONFIRMADO,1118028038,Ejecutiva/o Comercial de Cuentas - GBA Norte,director comercial/directora comercial,C1221,1,0.6459153294563293,,1,0
CONFIRMADO,1118028828,Búsqueda Laboral: Modelista – Vicente López (Florida Oeste),diseñador de modelos para moldes/diseñadora d,C7222,7,0.6301376819610596,,1,0
CONFIRMADO,1118028165,Responsable de RRHH Call Center Cobranzas,responsable de recursos humanos,C2423,2,0.6678867936134338,,1,0
CONFIRMADO,1118027163,Analista de RRHH Zonal Norte,analista de negocios,C2421,2,0.6081636548042297,,1,0
CONFIRMADO,1118027828,Vendedores/as de Playa y Tienda para Importante Empresa de E,vendedor/vendedora,C5223,5,0.69523024559021,,1,0
CONFIRMADO,1118027834,Vendedora Digital / Atención al Cliente,director de comercialización y ventas por can,C1221,1,0.6622101664543152,,1,0
CONFIRMADO,1118028681,ADMINISTRATIVA/O,empleado administrativo/empleada administrati,C3343,3,0.6101318597793579,,1,0
CONFIRMADO,1118026628,Responsable de Producción,supervisor de producción/supervisora de produ,C3122,3,0.6180052757263184,,1,0
CONFIRMADO,1118028684,Analista de compras,analista de estudios de mercado,C2431,2,0.6320279240608215,,1,0
CONFIRMADO,1118028201,671SI Operarios ind. ALIMENTICIA c/ Tit. secundario - pres 3,operario de producción de alimentos/operaria ,C8160,8,0.626321017742157,,1,0
REVISION,1118027188,"Programa de pasantías ""Crear Futuro""",diseñador de interiores/diseñadora de interio,C3432,3,0.5848844647407532,,0,1
REVISION,1118028653,Administrativo de Guardia,quiropráctico especializado/quiropráctica esp,C2269,2,0.5423123240470886,,0,1
REVISION,1118026779,Analista de Cuentas a Cobrar (Boulogne) - Req199985 - Eventu,auditor de cuentas/auditora de cuentas,C2411,2,0.5572811961174011,,0,1
REVISION,1118028202,Analista Sr de Estabilidades y Validaciones (req200052) - Pe,analista de pruebas,C2519,2,0.5414119958877563,,0,1
REVISION,1118028833,Asesor Comercial Plan de Ahorro - Volkswagen,agente de alquiler de coches con opción a com,C5223,5,0.568526566028595,,0,1
REVISION,1118027440,VENTA TELEFONICA,vendedor especializado en telefonía y comunic,C5223,5,0.5792991518974304,,0,1
REVISION,1118028891,auxiliar contable,administrativo contable/administrativa contab,C3313,3,0.579161524772644,,0,1
REVISION,1118026907,Desarrollador FullStack,desarrollador web/desarrolladora web,C2513,2,0.5823657512664795,,0,1
REVISION,1118027807,Cajera con Experiencia,cajero/cajera,C5230,5,0.5626208782196045,,0,1
REVISION,1118028645,Tecnico de caliidad Sr,técnico de laboratorio para el control de cal,C3119,3,0.5219713449478149,,0,1
