id,id_oferta,titulo_oferta,ocupacion_esco,isco_code,skill_mencionado,skill_tipo_fuente,esco_skill_uri,esco_skill_label,esco_skill_type,esco_skill_reusability,is_essential,is_optional,match_method,matching_version
8,2091347,CHOFER REPARTIDOR,conductor de vehículo de recogida de basura/conductora de vehículo de recogida de basura,C8332,atención al detalle,nlp_extraction,http://data.europa.eu/esco/skill/51754b8a-3e2c-4cc1-86e6-cf510d9c6fe4,emplear equipos de protección individual,skill,,1,0,exact,v8.3_esco_familias_funcionales
6,2091347,CHOFER REPARTIDOR,conductor de vehículo de recogida de basura/conductora de vehículo de recogida de basura,C8332,autonomía,nlp_extraction,http://data.europa.eu/esco/skill/2a82241a-216e-44d8-bb50-6b9a0ef82084,conducir un vehículo,skill,,1,0,exact,v8.3_esco_familias_funcionales
1,2091347,CHOFER REPARTIDOR,conductor de vehículo de recogida de basura/conductora de vehículo de recogida de basura,C8332,chofer,nlp_extraction,http://data.europa.eu/esco/skill/2a82241a-216e-44d8-bb50-6b9a0ef82084,conducir un vehículo,skill,,1,0,exact,v8.3_esco_familias_funcionales
3,2091347,CHOFER REPARTIDOR,conductor de vehículo de recogida de basura/conductora de vehículo de recogida de basura,C8332,compromiso,nlp_extraction,http://data.europa.eu/esco/skill/e162e52d-204c-41f6-91ad-8ea2654a1606,cumplir el calendario de trabajo de las compañías de transporte,skill,,1,0,exact,v8.3_esco_familias_funcionales
4,2091347,CHOFER REPARTIDOR,conductor de vehículo de recogida de basura/conductora de vehículo de recogida de basura,C8332,organización,nlp_extraction,http://data.europa.eu/esco/skill/40f65a56-ccbe-4601-9f32-1cc6cdd24f28,gestión de residuos,skill,,1,0,exact,v8.3_esco_familias_funcionales
5,2091347,CHOFER REPARTIDOR,conductor de vehículo de recogida de basura/conductora de vehículo de recogida de basura,C8332,planificación,nlp_extraction,http://data.europa.eu/esco/skill/40f65a56-ccbe-4601-9f32-1cc6cdd24f28,gestión de residuos,skill,,1,0,exact,v8.3_esco_familias_funcionales
7,2091347,CHOFER REPARTIDOR,conductor de vehículo de recogida de basura/conductora de vehículo de recogida de basura,C8332,resolución de problemas,nlp_extraction,http://data.europa.eu/esco/skill/40f65a56-ccbe-4601-9f32-1cc6cdd24f28,gestión de residuos,skill,,1,0,exact,v8.3_esco_familias_funcionales
2,2091347,CHOFER REPARTIDOR,conductor de vehículo de recogida de basura/conductora de vehículo de recogida de basura,C8332,responsabilidad,nlp_extraction,http://data.europa.eu/esco/skill/2a82241a-216e-44d8-bb50-6b9a0ef82084,conducir un vehículo,skill,,1,0,exact,v8.3_esco_familias_funcionales
9,2091347,CHOFER REPARTIDOR,conductor de vehículo de recogida de basura/conductora de vehículo de recogida de basura,C8332,repartidor,nlp_extraction,http://data.europa.eu/esco/skill/28bc5334-5372-4bd6-8458-c2b516dd6104,recoger residuos industriales,skill,,0,1,exact,v8.3_esco_familias_funcionales
10,2123908,"CAFETERIA FAST FOOD BUSCA CAJEROS, BARISTAS, SANDWICHEROS, SALONEROS, COCINEROS, ENCARGADOS",camarero de pisos/camarera de pisos,C9112,barista,nlp_extraction,http://data.europa.eu/esco/skill/26a6e6d2-1c9a-4d7e-8c04-5ba16d1f53da,recibir a huéspedes,skill,,0,1,exact,v8.3_esco_familias_funcionales
