termino,frecuencia,porcentaje
lunes a viernes,1570,29.88
part time,127,2.42
part-time,88,1.67
turno tarde,78,1.48
turno mañana,63,1.2
turno noche,54,1.03
l a v,48,0.91
horario flexible,44,0.84
híbrido 3x2,15,0.29
hibrido 4x1,9,0.17
horario rotativo,8,0.15
9hs a 18hs,7,0.13
08hs a 17hs,4,0.08
36 horas semanales,4,0.08
7hs a 16hs,4,0.08
20 horas semanales,3,0.06
24 horas semanales,3,0.06
12hs a 18hs,3,0.06
hibrido 3x2,2,0.04
9hs a 15hs,2,0.04
12hs a 20hs,2,0.04
5hs a 13hs,2,0.04
7hs a 17hs,2,0.04
7hs a 15hs,2,0.04
8 horas semanales,2,0.04
2 días oficina,2,0.04
8hs a 17hs,2,0.04
9h a 18h,2,0.04
3 días oficina,2,0.04
18hs a 24hs,2,0.04
8hs a 14h,2,0.04
14hs a 20hs,2,0.04
08hs a 18hs,2,0.04
40 horas semanales,1,0.02
10hs a 16hs,1,0.02
07hs a 16hs,1,0.02
07hs a 15hs,1,0.02
30 horas semanales,1,0.02
46 horas semanales,1,0.02
5 horas semanales,1,0.02
2 dias oficina,1,0.02
25 horas semanales,1,0.02
10hs a 19hs,1,0.02
14hs a 22hs,1,0.02
30hs a 17hs,1,0.02
híbrido 4x1,1,0.02
9h a 13h,1,0.02
09hs a 18hs,1,0.02
15hs a 21hs,1,0.02
6hs a 10hs,1,0.02
