termino,frecuencia,porcentaje
búsqueda,2163,41.16
realizar,1441,27.42
seguimiento,1155,21.98
gestionar,1105,21.03
mantener,996,18.95
colaborar,832,15.83
coordinar,806,15.34
desarrollar,710,13.51
supervisar,539,10.26
liderar,509,9.69
analizar,478,9.1
controlar,478,9.1
negociación,463,8.81
elaborar,425,8.09
diseñar,394,7.5
implementar,386,7.35
ejecutar,358,6.81
planificar,286,5.44
atender,236,4.49
monitorear,234,4.45
crear,229,4.36
evaluar,204,3.88
administrar,201,3.82
preparar,191,3.63
registrar,178,3.39
organizar,171,3.25
verificar,145,2.76
revisar,98,1.86
cargar,86,1.64
confeccionar,65,1.24
dirigir,58,1.1
procesar,55,1.05
liquidar,17,0.32
archivar,12,0.23
