,fuente,titulo,descripcion,title,description,experiencia_min_anios,nivel_educativo,idioma_principal,skills_tecnicas_list,soft_skills_list
362,bumeran,Administrativo de depósito y logística,"Somos Distribuidora Low, una empresa ubicada en Belén de Escobar dedicada a la distribución de productos de consumo masivo en zona norte del GBA.Buscamos un Administrativo de Depósito y Logística Jr turno tarde, para sumar al área de operaciones con buena predisposición, compromiso y ganas de integrarse a un equipo dinámico. Es fundamental contar con experiencia de al menos 1 año en puestos similares.PRINCIPALES TAREAS Carga de facturas de proveedores. Gestión de pedidos de clientes en sistema. Altas y bajas de clientes Altas y bajas de productos. Generación de facturas y remitos. Armado y seguimiento de hojas de ruta. Soporte y comunicación con equipo de ventas y logística. Colaborar en la gestión de inventario. Verificación de stock en sistema vs stock físico.LUGAR DE TRABAJOBelén de Escobar, zona norte del Gran Buenos Aires.REQUISITOS Secundario completo. Manejo de Excel nivel intermedio. Experiencia en uso de sistemas de gestión. Experiencia laboral en gestión de depósito y logística comprobable. Residir en Escobar o zonas cercanas.OFRECEMOS Sueldo fijo + beneficios e incentivos. Estabilidad laboral. Posibilidad de crecimiento en el área de logística. Ambiente de trabajo colaborativo y dinámico.Esperamos tu postulación!",,,1.0,secundario,,['excel'],['comunicación']
73,indeed,,,Varmed-Accounts Payable Specialist,"(1 plaza disponible) Compensación a discutir, basado en educación/experiencia

Resumen del Puesto

El especialista de contabilidad de cuentas a pagar es responsable de la gestión y el procesamiento de todas las facturas y pagos a los proveedores de la empresa. El objetivo principal es garantizar la precisión y eficiencia en el manejo de las cuentas a pagar manteniendo buenas relaciones con los suplidores y proveedores de servicio.

El especialista de contabilidad puede analizar balances, administrar cuentas del libro mayor, conciliación y el registro de facturas, así como la coordinación del flujo de caja y el cumplimiento de los plazos de pago.

Descripción de tareas:

1\. Recepción y verificación de facturas y solicitudes de pago.

2\. Verificación de la exactitud de las facturas contra las órdenes de compra y los recibos de bienes/servicios.

3\. Registro de facturas en el sistema contable.

4\. Programación con supervisor del departamento y procesamiento de pagos a proveedores mediante cheques, transferencias electrónicas o cualquier otro método de pago acordado.

5\. Garantizar que los pagos se realicen dentro de los plazos acordados para evitar cargos por mora.

6\. Realización de conciliaciones mensuales de cuentas de proveedores.

7\. Resolución de discrepancias en las cuentas y seguimiento de las facturas pendientes.

8\. Comunicación con proveedores para resolver cualquier cuestión relacionada con las facturas y los pagos.

9\. Coordinación con otros departamentos, como compras y recepción, para resolver discrepancias y asegurar el flujo adecuado de la documentación.

10\. Mantenimiento de registros precisos y actualizados de todas las transacciones de cuentas a pagar.

11\. Archivo y gestión de documentos relacionados de manera organizada y accesible.

12\. Preparación de informes mensuales, trimestrales y anuales sobre el estado de las cuentas a pagar.

13\. Apoyo en la auditoría interna y externa proporcionando documentación y aclaraciones necesarias.

CUALIDADES PROFESIONALES

* Fuerte ética personal, el más alto nivel de integridad personal y profesional, y necesidad de ser capaz de analizar, asesorar e influir objetivamente en el comportamiento de todos los niveles de la organización.
* Atención a los detalles, incluso bajo presión, para garantizar que el liderazgo reciba el asesoramiento y el apoyo correctos.
* Capacidad para trabajar amistosamente con compañeros de trabajo en un ambiente de equipo.
* Fuertes habilidades organizativas y multitarea.
* Comunicación oral y escrita efectiva.
* Habilidades de gestión del tiempo con capacidad para cumplir con los plazos.
* Una persona que tiene dominio de sí mismo en escenarios estresantes y control de sus emociones en situaciones difíciles.
* Excelentes habilidades para construir relaciones y capacidad comprobada para trabajar en colaboración.
* Capaz de emitir juicios sensatos sobre los asuntos observados.

EDUCACIÓN Y EXPERIENCIA

Licenciatura en administración de empresas en Contabilidad preferiblemente. 3\-5 años de experiencia en un entorno de administración y finanzas. Se requieren conocimientos prácticos del procesamiento de cuentas a pagar. Se considerarán combinaciones equivalentes de educación y experiencia.**:** 

* Destreza en el uso de aplicaciones de computadora como: Outlook, Word, Excel, proclaim

(1 plaza disponible) compensación a discutir, basado en educación/experiencia

·

Tipo de puesto: Tiempo completo

Sueldo: A partir de $11\.00 la hora

Horas previstas: No menos de 40 por semana

Lugar de trabajo: Empleo presencial",5.0,universitario,,"['excel', 'word', 'outlook']","['comunicación', 'colaboración', 'liderazgo', 'lider', 'organización', 'gestión del tiempo', 'precisión']"
375,bumeran,Administrativo de depósito y logística,"Somos Distribuidora Low, una empresa ubicada en Belén de Escobar dedicada a la distribución de productos de consumo masivo en zona norte del GBA.Buscamos un Administrativo de Depósito y Logística Jr turno tarde, para sumar al área de operaciones con buena predisposición, compromiso y ganas de integrarse a un equipo dinámico. Es fundamental contar con experiencia de al menos 1 año en puestos similares.PRINCIPALES TAREAS Carga de facturas de proveedores. Gestión de pedidos de clientes en sistema. Altas y bajas de clientes Altas y bajas de productos. Generación de facturas y remitos. Armado y seguimiento de hojas de ruta. Soporte y comunicación con equipo de ventas y logística. Colaborar en la gestión de inventario. Verificación de stock en sistema vs stock físico.LUGAR DE TRABAJOBelén de Escobar, zona norte del Gran Buenos Aires.REQUISITOS Secundario completo. Manejo de Excel nivel intermedio. Experiencia en uso de sistemas de gestión. Experiencia laboral en gestión de depósito y logística comprobable. Residir en Escobar o zonas cercanas.OFRECEMOS Sueldo fijo + beneficios e incentivos. Estabilidad laboral. Posibilidad de crecimiento en el área de logística. Ambiente de trabajo colaborativo y dinámico.Esperamos tu postulación!",,,1.0,secundario,,['excel'],['comunicación']
155,indeed,,,COOK - HOSPITAL PRESBY,"Sky Caterers se encuentra buscando cocineros para cafeteria en el Hospital Cardiovascular en el Centro Médico en San Juan.

Preparación de alimentos cumpliendo las especificaciones de las recetas, dietas y procedimientos estipulados por leyes que regulan el área.

**FUNCIONES/TAREAS:**

* Prepara el área de la cocina con alimentos y utensilios a utilizar, asegurando los procedimientos estipulados por HACCP y USDA en manejo de alimentos, FDA y Dept. de Salud de PR.
* Asegura y mantiene organizada y limpia toda su área.
* Reporta al Supervisor y/o Gerente cualquier irregularidad y/o situación que surjan en su área.
* Asegurarse que los alimentos utilizados sean frescos
* Preparar toda la variedad de alimentos que comprende el menú diario del area de pacientes y cafeteria.
* Confeccionar las especialidades de acuerdo a lo estipulado en las hojas de producción y por el supervisor de servicios de alimentos.
* Suple los carros termos de la línea de servicio en cafetería.
* Dispone de manera adecuada los sobrantes de los ingredientes utilizados en la preparación de los platos asignados, como: envasar, rotular y guardarlos según los procedimientos establecidos.
* Corta, limpia y prepara las carnes a utilizarse en la preparación de los platos de menú del día.
* Mantener los alimentos en neveras y almacenes, en los envases correspondientes, rotulados y cumpliendo con los estandares de manejo seguro de alimentos.
* Cumple con las normas de conductas y reglas de disciplina establecidas por la empresa, así como las de saneamiento (GMP’s).
* Asegura de cumplir con las regulaciones de seguridad en el área de trabajo.
* Repasa con el técnico de dietas el censo de pacientes para asegurar el cumplimiento de las cantidades requeridas a ser confeccionadas.
* Verificar los menús diariamente para asegurar las recetas a ser preparadas.
* Cocinar los alimentos siguiendo las especificaciones de cada receta.
* Cumple con las instrucciones en el menú y censo del día para la confección del menú.
* Asegura cumplimiento con las modificaciones requeridas a ser trabajadas según las dietas y que las mismas cumplan con frescura, sabor, apariencia y temperatura.
* Valida con la dietista y técnico de dietas especialidades u otras modificaciones a ser trabajadas asegurando el cumplimiento de la dieta ordenada.
* Asegura que la producción salga a tiempo con las especificaciones de acuerdo a las dietas y realiza preproducción necesaria para el proximo día.
* Cualquier otra tarea asignada por su supervisor inmediato.

**REQUISITOS:**

* Cursos de Artes Culinarias o áreas relacionadas.
* Experiencia combinada con educación pudiese ser considerada.
* Mínimo de un (1\) año de experiencia en preparación de alimentos de comida en restaurante y/o hoteles.
* Mínimo de 6 meses de experiencia supervisando personal en cocina (preferible).
* Buenas destrezas de comunicación.
* Disponibilidad de turnos

**SOMOS UN PATRONO CON IGUALDAD DE OPORTUNIDAD DE EMPLEO. M/V/D/M**

Job Type: Full\-time

Pay: $14\.00 per hour

Benefits:

* Health insurance
* Paid sick time
* Paid time off

Work Location: In person",,terciario,,,['comunicación']
104,indeed,,,Executive Sous Chef,"**Additional Information**  

**Job Number**25073662  

**Job Category**Food and Beverage \& Culinary  

**Location**San Juan Marriott Resort \& Stellaris Casino, 1309 Ashford Avenue, San Juan, Puerto Rico, United States, 00907  

**Schedule**Full Time  

**Located Remotely?**N  

**Position Type** Management  

**JOB SUMMARY**

  



Exhibits culinary talents by personally performing tasks while assisting in leading the staff and managing all food related functions. Works to continually improve guest and employee satisfaction while maximizing the financial performance in all areas of responsibility. Assists in supervising all kitchen areas to ensure a consistent, high quality product is produced. Responsible for guiding and developing staff including direct reports. Must ensure sanitation and food standards are achieved. Areas of responsibility comprise overseeing all food preparation areas (e.g., banquets, room service, restaurants, bar/lounge and employee cafeteria) and all support areas (e.g., dish room and purchasing) as applicable.

  



**CANDIDATE PROFILE**

  



**Education and Experience**


* High school diploma or GED; 6 years experience in the culinary, food and beverage, or related professional area.


OR


* 2\-year degree from an accredited university in Culinary Arts, Hotel and Restaurant Management, or related major; 4 years experience in the culinary, food and beverage, or related professional area.

  



**CORE WORK ACTIVITIES**

  



**Assisting in Leading Kitchen Operations for Property**


* Provides direction for all day\-to\-day operations.


* Understands employee positions well enough to perform duties in employees' absence or determine appropriate replacement to fill gaps.


* Provides guidance and direction to subordinates, including setting performance standards and monitoring performance.


* Utilizes interpersonal and communication skills to lead, influence, and encourage others; advocates sound financial/business decision making; demonstrates honesty/integrity; leads by example.


* Encourages and builds mutual trust, respect, and cooperation among team members.


* Serving as a role model to demonstrate appropriate behaviors.


* Ensures property policies are administered fairly and consistently.


* Reviews staffing levels to ensure that guest service, operational needs and financial objectives are met.


* Establishes and maintains open, collaborative relationships with employees and ensures employees do the same within the team.


* Solicits employee feedback, utilizes an ""open door"" policy and reviews employee satisfaction results to identify and address employee problems or concerns.


* Supervises and coordinates activities of cooks and workers engaged in food preparation.


* Demonstrate new cooking techniques and equipment to staff.

  



**Setting and Maintaining Goals for Culinary Function and Activities**


* Develops and implements guidelines and control procedures for purchasing and receiving areas.


* Establishes goals including performance goals, budget goals, team goals, etc.


* Communicates the importance of safety procedures, detailing procedure codes, ensuring employee understanding of safety codes, monitoring processes and procedures related to safety.


* Manages department controllable expenses including food cost, supplies, uniforms and equipment.


* Participates in the budgeting process for areas of responsibility.


* Knows and implements the brand's safety standards.

  



**Ensuring Culinary Standards and Responsibilities are Met**


* Provides direction for menu development.


* Monitors the quality of raw and cooked food products to ensure that standards are met.


* Determines how food should be presented, and create decorative food displays.


* Recognizes superior quality products, presentations and flavor.


* Ensures compliance with food handling and sanitation standards.


* Follows proper handling and right temperature of all food products.


* Ensures employees maintain required food handling and sanitation certifications.


* Maintains purchasing, receiving and food storage standards.


* Prepares and cooks foods of all types, either on a regular basis or for special guests or functions.

  



**Ensuring Exceptional Customer Service**


* Provides and supports service behaviors that are above and beyond for customer satisfaction and retention.


* Improves service by communicating and assisting individuals to understand guest needs, providing guidance, feedback, and individual coaching when needed.


* Manages day\-to\-day operations, ensuring the quality, standards and meeting the expectations of the customers on a daily basis.


* Displays leadership in guest hospitality, exemplifies excellent customer service and creates a positive atmosphere for guest relations.


* Interacts with guests to obtain feedback on product quality and service levels.


* Responds to and handles guest problems and complaints.


* Empowers employees to provide excellent customer service. Establishes guidelines so employees understand expectations and parameters. Ensures employees receive on\-going training to understand guest expectations.


* Reviews comment cards, guest satisfaction results and other data to identify areas of improvement.

  



**Managing and Conducting Human Resource Activities**


* Identifies the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills.


* Ensures employees are treated fairly and equitably.


* Trains kitchen associates on the fundamentals of good cooking and excellent plate presentations.


* Administers the performance appraisal process for direct report managers.


* Interacts with the Banquet Chef and Catering department on training regarding food knowledge and menu composition.


* Observes service behaviors of employees and provides feedback to individuals and or managers.


* Manages employee progressive discipline procedures for areas of responsibility.


* Ensures disciplinary procedures and documentation are completed according to Standard and Local Operating Procedures (SOPs and LSOPs) and supports the Peer Review Process.

  



**Additional Responsibilities**


* Provides information to executive teams, managers and supervisors, co\-workers, and subordinates by telephone, in written form, e\-mail, or in person.


* Analyzes information and evaluating results to choose the best solution and solve problems.
  

*At Marriott International, we are dedicated to being an equal opportunity employer, welcoming all and providing access to opportunity. We actively foster an environment where the unique backgrounds of our associates are valued and celebrated. Our greatest strength lies in the rich blend of culture, talent, and experiences of our associates. We are committed to non\-discrimination on any protected basis, including disability, veteran status, or other basis protected by applicable law.*


Marriott Hotels strive to elevate the art of hospitality, innovating at every opportunity while keeping the comfort of the oh\-so\-familiar all around the globe. As a host with Marriott Hotels, you will help keep the promise of “Wonderful Hospitality. Always.” by delivering thoughtful, heartfelt, forward\-thinking service that upholds and builds upon this living legacy. With the name that’s synonymous with hospitality the world over, we are proud to welcome you to explore a career with Marriott Hotels. In joining Marriott Hotels, you join a portfolio of brands with Marriott International. **Be** where you can do your best work, **begin** your purpose, **belong** to an amazing global team, and **become** the best version of you.  




JW Marriott is part of Marriott International's luxury portfolio and consists of more than 100 beautiful properties in gateway cities and distinctive resort locations around the world. JW believes our associates come first. Because if you’re happy, our guests will be happy. JW Marriott associates are confident, innovative, genuine, intuitive, and carry on the legacy of the brand’s namesake and company founder, J.Willard Marriott. Our hotels offer a work experience unlike any other, where you’ll be part of a community and enjoy true camaraderie with a diverse group of co\-workers. JW creates opportunities for training, development, recognition and most importantly, a place where you can pursue your passions in a luxury environment with a focus on holistic well\-being. Treating guests exceptionally starts with the way we take care of our associates. That’s The JW Treatment™. In joining JW Marriott, you join a portfolio of brands with Marriott International. **Be** where you can do your best work, **begin** your purpose, **belong** to an amazing global team, and **become** the best version of you.",6.0,secundario,,"['chef', 'teams']",['management']
395,bumeran,Administrativo de depósito y logística,"Somos Distribuidora Low, una empresa ubicada en Belén de Escobar dedicada a la distribución de productos de consumo masivo en zona norte del GBA.Buscamos un Administrativo de Depósito y Logística Jr turno tarde, para sumar al área de operaciones con buena predisposición, compromiso y ganas de integrarse a un equipo dinámico. Es fundamental contar con experiencia de al menos 1 año en puestos similares.PRINCIPALES TAREAS Carga de facturas de proveedores. Gestión de pedidos de clientes en sistema. Altas y bajas de clientes Altas y bajas de productos. Generación de facturas y remitos. Armado y seguimiento de hojas de ruta. Soporte y comunicación con equipo de ventas y logística. Colaborar en la gestión de inventario. Verificación de stock en sistema vs stock físico.LUGAR DE TRABAJOBelén de Escobar, zona norte del Gran Buenos Aires.REQUISITOS Secundario completo. Manejo de Excel nivel intermedio. Experiencia en uso de sistemas de gestión. Experiencia laboral en gestión de depósito y logística comprobable. Residir en Escobar o zonas cercanas.OFRECEMOS Sueldo fijo + beneficios e incentivos. Estabilidad laboral. Posibilidad de crecimiento en el área de logística. Ambiente de trabajo colaborativo y dinámico.Esperamos tu postulación!",,,1.0,secundario,,['excel'],['comunicación']
378,bumeran,Senior de reintegros,"&#x1f3af; Tu propósito¿Te gusta ayudar a las personas y resolver situaciones con empatía, rapidez y calidad? Buscamos alguien con experiencia en atención al cliente y gestión de reintegros, con ganas de acompañar a los viajeros cuando más lo necesitan.Tu rol será analizar, validar y gestionar solicitudes de reintegro, asegurando una atención cercana, cálida y efectiva. Vas a formar parte de un equipo regional que brinda soluciones reales y experiencias positivas a quienes confían en nosotros.&#x1f4bc; Tus principales responsabilidades Analizar y autorizar solicitudes de reintegro según las políticas vigentes. Revisar documentación médica y comprobantes de gastos. Brindar acompañamiento y seguimiento personalizado al viajero durante todo el proceso. Coordinar con las áreas internas para asegurar el cierre correcto de cada caso. Monitorear tiempos de respuesta y niveles de servicio. Proponer mejoras en los procesos y promover buenas prácticas de atención.&#x1f9e0; Lo que valoramos de vos Experiencia mínima de 3 años en tareas de reintegros, reclamos o atención al cliente (idealmente en asistencia al viajero, seguros o salud). Secundario completo (formación terciaria o cursos relacionados con atención al cliente, turismo o administración, valorados). Buen manejo de herramientas informáticas (Excel, sistemas de gestión, correo corporativo). Perfil empático, organizado y resolutivo. Excelente comunicación y orientación al servicio.&#x1f49a; Lo que te ofrecemos Un entorno humano, colaborativo y con buena energía. &#x1f30e; Interacción con viajeros y equipos de distintos países de la región. &#x1f680; Oportunidades de crecimiento real y desarrollo profesional. &#x1f553; Horarios flexibles y equilibrio entre vida personal y laboral. &#x1f9e0; Capacitaciones continuas en procesos internacionales de asistencia.",,,5.0,secundario,,['excel'],"['comunicación', 'flexible']"
124,indeed,,,Senior Specialist - Medical Operations (Paramedics),"**COMPANY**
Global Rescue is the world’s leading membership organization providing integrated travel risk management services, including medical, security, intelligence and crisis response services to consumers, enterprises and governments. Founded in 2004 Global Rescue’s unique operational model provides best\-in\-class services that identify, monitor, and respond to threats and emergencies. For more information, please see www.globalrescue.com.

**CULTURE**  

Global Rescue isn’t your average place to work and that’s why we’re comfortable saying we’re not for everyone. Our team of passionate, mission driven professionals are reinventing the travel risk and crisis management industry and helping save lives every day. We are a high\-performance organization operating on a global scale. Our team is made up of driven, passionate, adventurous, team players who have a “get it done mentality.” The overall ethos is “no job too big or too small;” this is a place where one needs to be prepared to roll up your sleeves and get things done no matter your title. The culture of the office is fast\-paced, collaborative and ever changing so there is always a buzz, you’ll never get bored or too comfortable working at Global Rescue.

**ROLE OVERVIEW**
We are currently seeking paramedics looking for a career change to join our growing operations teams. In this role you will staff emergency access telephone lines in our operations centers to respond to client health events and other emergencies, deploy both domestically and internationally in support of medical evacuations, and perform a combination of medical logistics and research work. The logistics are in support of medevac operations that come into the office from our members and the research is done in preparation for future operations (locating and establishing relationships with hospitals, air and ground evacuation providers, etc.). You should be a team player, excellent multi\-tasker, have great time management skills and enjoy helping find the right solutions for our members.  


**RESPONSIBILITIES**
* Staff emergency access telephone lines in our operations centers to respond to client health events and other emergencies
* Manage and coordinate logistics for rescues and medical transfers from remote locations to hospitals within the U.S. and other locations (includes air, ground, sea, etc.)
* Travel domestically and internationally via commercial and private aircraft to oversee and coordinate patient relocation, stabilization and monitoring
* Support security operations as requested
* Follow, maintain and improve departmental protocol, process and quality standards
* Research and maintain operations resources and databases
* Travel domestically and internationally in support of operational development


**QUALIFICATIONS**
* 5\+ years of Paramedic
* Certified Flight Paramedic
* Current Paramedic License in good standing
* ACLS/PALS/NRP/PHTLS or BTLS
* Exceptional written and verbal communication skills
* Basic computer skills and the ability to learn new software/technology quickly
* Mission focused orientation, interest in “doing whatever it takes” to help those in need
* Attention to detail and follow\-through
* Efficient time management and organizational skills
* Excellent oral and written English communication skills



**LOCATION:** Dorado, PR
**COMPENSATION:** dependent upon experience, inquire for more details
**RELOCATION:** assistance provided",5.0,,ingles,"['teams', 'office']","['management', 'time management']"
68,indeed,,,Technical Director-News,"**Resumen General**


El/la Drector(a) Técnico(a) de Noticias es responsable de la coordinación y supervisión de la operación técnica de los noticieros y programas informativos, con énfasis en la operación del sistema de automatización Grass Valley Ignite, así como la gestión del equipo Utility y Pionera.

 **Responsabilidades, Deberes y Tareas Esenciales**

  

El deber primordial de la persona que ocupa esta plaza consiste en la ejecución de las siguientes tareas de acuerdo a las políticas, directrices y procedimientos de la Compañía:


Supervisar y coordinar la operación técnica de los noticieros: cámaras, gráficas, audio, micrófonos, prompter y demás elementos técnicos en estudio.

  

* Ser responsable directo de Ignite, asegurando precisión y calidad en cada transmisión.
* Supervisar a Utility y Pionera en sus funciones (manejo de invitados, escenografía, transmisión y soporte técnico).
* Coordinar con Fotoperiodistas durante coberturas y transmisiones externas para garantizar encuadres, composición visual y calidad en pantalla.
* Supervisar el contenido producido durante coberturas y transmisiones externas para garantizar calidad en la pantalla.
* Participar en eventos especiales fuera del canal, fungiendo como enlace técnico entre control, estudio y equipos en la calle.
* Coordinar con Ingeniería para mantenimiento, solución de problemas y actualización de sistemas.
* Establecer y mantener estándares técnicos y estéticos de los noticieros y transmisiones especiales.
* Definir y aprobar tiros de cámara, esquemas de iluminación y gráficas en coordinación con Producción y Dirección de Noticias.
* Entrenar y desarrollar al personal técnico en Ignite, Utility y sistemas de transmisión.
* Evaluar desempeño del equipo técnico e implementar planes de mejora continua.
* Anticipar necesidades técnicas para coberturas de alto impacto (elecciones, debates, huracanes, eventos especiales).
* Supervisar el inventario de equipos técnicos de Noticias y recomendar adquisiciones de nuevas tecnologías.
* Administrar recursos humanos y técnicos para lograr eficiencia operativa.
* Diseñar protocolos de contingencia y respaldo técnico para garantizar continuidad en caso de fallas.
* Proponer e implementar nuevas tecnologías de automatización y transmisión que fortalezcan la operación del canal.
* Realizar pruebas técnicas de nuevos equipos y software antes de su integración.
* Mantenerse actualizado en tendencias globales de producción televisiva e integrar mejores prácticas al canal.
* Ser el enlace técnico principal entre Noticias, Producción, Ingeniería y Programación.
* Trabajar con Producción Ejecutiva para alinear la ejecución técnica con la línea editorial y de marca del canal.
* Colaborar con Mercadeo y Operaciones en transmisiones simultáneas, especiales y proyectos corporativos.

 **Requisitos del Puesto**  

Para desempeñarse con éxito en este puesto, la persona debe poder realizar cada tarea a cabalidad. Los requisitos descritos a continuación son representativos del conocimiento, destrezas y habilidades requeridas. Acomodo razonable puede ser facilitado para que personas con impedimentos puedan desempeñar dichas funciones.  

* Bachillerato en Comunicaciones, Producción de Televisión o experiencia equivalente.
* Experiencia mínima de cinco (5\) años en operación de estudios de televisión.
* Experiencia mínima de tres (3\) años en supervisión de equipos técnicos y/o dirección de programas en vivo.
* Dominio comprobado de Grass Valley Ignite y sistemas de transmisión digital.
* Conocimientos en cámaras broadcast, LiveU, audio, iluminación, escenografía y utilería.
* Excelentes destrezas de comunicación oral y escrita en español e inglés.
* Habilidad para trabajar bajo presión, resolver problemas y liderar equipos multidisciplinarios.
* Conocimiento avanzado en Microsoft Office (Word, Excel, PowerPoint, Outlook).
* Disponibilidad para turnos rotativos, noches, fines de semana y coberturas externas.

 **Demandas Físicas:**


Las demandas físicas aquí descritas son representativas de aquellas necesarias para cumplir exitosamente con las tareas esenciales del puesto. Se ofrecerá acomodo razonable a aquel empleado que lo necesite según las políticas del Departamento de Recursos Humanos.

* 85% del tiempo en estudio/control; 15% en asignaciones externas y eventos especiales.
* Requiere movilidad para supervisar áreas de control, estudio y transmisiones externas.

 **PATRONO CON IGUALDAD DE OPORTUNIDADES DE EMPLEO****EEO/AAP/M/F/V/D**",,universitario,ingles,"['excel', 'word', 'powerpoint', 'office', 'microsoft office', 'outlook']","['comunicación', 'lider', 'precisión']"
451,bumeran,Líder Comercial Ssr de Canal B2B - Eventual - GARÍN,"Estamos seleccionando JOVENES un Lider Comercial para importante empresa ubicada en Garín.Zona de Trabajo: Garín, Buenos AiresJornada Laboral: Full time L a V 9 a 18hEsquema de Empleo: Presencial con visitas constantes (deseable contar con movilidad propia)Modalidad de Contratación: EVENTUAL 1 año (con posibilidad de efectivización)Las principales funciones del puesto serán:  Dar soporte a la administración de distribuidores y la generación de demanda del canal relacionado con Sell in, Sell out, Inventarios  Ayudar en la expansión de Cobertura en la región hasta alcanzar la relevancia competitiva necesaria para ganar participación de mercado  Implementar campañas de Marketing en todos los socios del canal y administrar la inversión de presupuestos, MDFs y Rebates  Soportar la implementación de actividades definidas en el JBP con distribuidores Elite para el desarrollo del negocio  Proporcionaras información del mercado a la división  Actualización de listas de precios, comunicación de promociones por volumen y lanzamientos de nuevos productos.Requisitos:- Estudiantes o recibidos de carreras de grado en Administración de Empresas, Negocios, Ingeniería o carreras afines (EXCLUYENTE)- Minimo de 2 años de experiencia en ventas, preferible en Channel y B2B. - Habilidades de comunicación asertiva (EXCLUYENTE)Al postularte o avanzar en este proceso, aceptás el tratamiento de tus datos personales conforme a nuestra Política de Privacidad, en cumplimiento de la Ley 25.326. ManpowerGroup Argentina tratará tu información exclusivamente con fines de evaluación y contacto en relación con oportunidades laborales. Podés ejercer tus derechos de acceso, rectificación o supresión cuando lo desees.En ManpowerGroup promovemos una cultura inclusiva y diversa basada en el respeto y en la igualdad de oportunidades.",,,2.0,universitario,,,"['comunicación', 'lider', 'líder']"
