num,sector,mr,ocupacion_esco,esco_code,isco,canon,termino,mr_buscar
1,Automotriz,"Auxiliar Mecánico de Motores Diésel","mecánico de motores diésel",7231.3,7231,exacto,diesel,"automotriz auxiliar mecanico de motores diesel mecanico de motores diesel diesel 7231.3 7231"
2,Automotriz,"Auxiliar Mecánico de Motores Nafteros","mecánico de vehículos",7231.10,7231,aprox,naftero,"automotriz auxiliar mecanico de motores nafteros mecanico de vehiculos naftero 7231.10 7231"
3,Automotriz,"Chapista de automotores",chapista,7213.4,7213,exacto,chapista,"automotriz chapista de automotores chapista chapista 7213.4 7213"
4,Automotriz,"Electricista de automotores","electricista de automóviles",7412.2,7412,exacto,"electricista automotor","automotriz electricista de automotores electricista de automoviles electricista automotor 7412.2 7412"
5,Automotriz,"Gomero balanceador","encargado de puesta a punto de neumáticos",7231.7,7231,exacto,gomero,"automotriz gomero balanceador encargado de puesta a punto de neumaticos gomero 7231.7 7231"
6,Automotriz,"Mecánico Instalador de Equipos de GNC","— emergente","","","SIN CANON",gnc,"automotriz mecanico instalador de equipos de gnc — emergente gnc"
7,Automotriz,"Mec. de Motores de Combustión Interna","mecánico de vehículos",7231.10,7231,aprox,"combustion interna","automotriz mec. de motores de combustion interna mecanico de vehiculos combustion interna 7231.10 7231"
8,Automotriz,"Mec. de Suspensión y Dirección","técnico en frenado, suspensión y dirección",7231.1,7231,exacto,"tren delantero","automotriz mec. de suspension y direccion tecnico en frenado, suspension y direccion tren delantero 7231.1 7231"
9,Automotriz,"Mecánico de Transmisiones","mecánico de vehículos",7231.10,7231,aprox,transmision,"automotriz mecanico de transmisiones mecanico de vehiculos transmision 7231.10 7231"
10,Automotriz,"Mecánico de motos","mecánico de vehículos",7231.10,7231,aprox,"mecanico de moto","automotriz mecanico de motos mecanico de vehiculos mecanico de moto 7231.10 7231"
11,Automotriz,"Mec. de encendido y alimentación","mecánico de vehículos",7231.10,7231,aprox,encendido,"automotriz mec. de encendido y alimentacion mecanico de vehiculos encendido 7231.10 7231"
12,Automotriz,"Mecánico de sistemas de frenos","técnico en frenado, suspensión y dirección",7231.1,7231,exacto,frenos,"automotriz mecanico de sistemas de frenos tecnico en frenado, suspension y direccion frenos 7231.1 7231"
13,Automotriz,"Mec. de inyección diésel","mecánico de motores diésel",7231.3,7231,exacto,inyeccion,"automotriz mec. de inyeccion diesel mecanico de motores diesel inyeccion 7231.3 7231"
14,Automotriz,"Mecánico electrónico de automotores","electricista de automóviles",7412.2,7412,aprox,"mecanico electronico","automotriz mecanico electronico de automotores electricista de automoviles mecanico electronico 7412.2 7412"
15,Automotriz,"Pintor de automotores","pintor de vehículos",7132.3,7132,exacto,"pintor de auto","automotriz pintor de automotores pintor de vehiculos pintor de auto 7132.3 7132"
16,Automotriz,"Rectificador de Motores","operador de pulidora cilíndrica",8122.4,8122,aprox,rectificador,"automotriz rectificador de motores operador de pulidora cilindrica rectificador 8122.4 8122"
17,Construccion,"Albañil","albañil",7112.1,7112,exacto,"albañil","construccion albanil albanil albanil 7112.1 7112"
18,Construccion,"Armador de Hierros para Hormigón Armado",ferrallista,7214.3,7214,exacto,herreria,"construccion armador de hierros para hormigon armado ferrallista herreria 7214.3 7214"
19,Construccion,"Armador y montador de andamios","montador de andamios",7119.1,7119,exacto,andamio,"construccion armador y montador de andamios montador de andamios andamio 7119.1 7119"
20,Construccion,"Armador y montador de componentes metálicos","montador de productos metálicos",8219.8,8219,exacto,soldador,"construccion armador y montador de componentes metalicos montador de productos metalicos soldador 8219.8 8219"
21,Construccion,"Armador y montador de paneles y cielorrasos",escayolista,7123.2,7123,exacto,cielorraso,"construccion armador y montador de paneles y cielorrasos escayolista cielorraso 7123.2 7123"
22,Construccion,"Auxiliar en Construcciones","obrero de la construcción",9313.1,9313,exacto,"ayudante de obra","construccion auxiliar en construcciones obrero de la construccion ayudante de obra 9313.1 9313"
23,Construccion,"Auxiliar en Inst. Sanitarias y de Gas",fontanero,7126.8,7126,"exacto · CUAR",plomero,"construccion auxiliar en inst. sanitarias y de gas fontanero plomero 7126.8 7126"
24,Construccion,"Auxiliar en construcciones en seco","— emergente","","","SIN CANON",durlock,"construccion auxiliar en construcciones en seco — emergente durlock"
25,Construccion,"Carpintero de Obra Fina",carpintero,7115.1,7115,exacto,carpintero,"construccion carpintero de obra fina carpintero carpintero 7115.1 7115"
26,Construccion,"Carpintero para Hormigón Armado",carpintero,7115.1,7115,aprox,"carpintero de obra","construccion carpintero para hormigon armado carpintero carpintero de obra 7115.1 7115"
27,Construccion,"Colocador de Revestimientos de Base Húmeda",solador,7114.2,7114,exacto,"colocador de ceramica","construccion colocador de revestimientos de base humeda solador colocador de ceramica 7114.2 7114"
28,Construccion,"Colocador de revestimientos decorativos","instalador de suelos resistentes",7122.3,7122,exacto,revestimiento,"construccion colocador de revestimientos decorativos instalador de suelos resistentes revestimiento 7122.3 7122"
29,Construccion,"Gasista Domiciliario","instalador de gas",7126.3,7126,exacto,gasista,"construccion gasista domiciliario instalador de gas gasista 7126.3 7126"
30,Construccion,"Gasista de Unidades Unifuncionales","instalador de gas",7126.3,7126,exacto,gasista,"construccion gasista de unidades unifuncionales instalador de gas gasista 7126.3 7126"
31,Construccion,"Montador Electricista Domiciliario","electricista doméstico",7411.1.1.1,7411,exacto,electricista,"construccion montador electricista domiciliario electricista domestico electricista 7411.1.1.1 7411"
32,Construccion,"Montador de Inst. de Gas (108/10)","instalador de gas",7126.3,7126,exacto,gasista,"construccion montador de inst. de gas (108/10) instalador de gas gasista 7126.3 7126"
33,Construccion,"Montador de Inst. de Gas (204/13)","instalador de gas",7126.3,7126,exacto,gasista,"construccion montador de inst. de gas (204/13) instalador de gas gasista 7126.3 7126"
34,Construccion,"Montador de Inst. Sanitarias",fontanero,7126.8,7126,exacto,plomero,"construccion montador de inst. sanitarias fontanero plomero 7126.8 7126"
35,Construccion,"Montador de entramado en madera",carpintero,7115.1,7115,aprox,entramado,"construccion montador de entramado en madera carpintero entramado 7115.1 7115"
36,Construccion,"Pintor de obra","pintor de obra",7131.1,7131,exacto,"pintor de obra","construccion pintor de obra pintor de obra pintor de obra 7131.1 7131"
37,Construccion,"Techista de Faldones Inclinados","albañil de tejados y cubiertas",7121.1,7121,exacto,techista,"construccion techista de faldones inclinados albanil de tejados y cubiertas techista 7121.1 7121"
38,Construccion,Yesero,escayolista,7123.2,7123,exacto,yesero,"construccion yesero escayolista yesero 7123.2 7123"
39,Gastronomia,"Ama de Llaves","mayordomo/gobernanta de hostelería",5151.1,5151,exacto,"ama de llaves","gastronomia ama de llaves mayordomo/gobernanta de hosteleria ama de llaves 5151.1 5151"
40,Gastronomia,Cocinero,cocinero,5120.1,5120,exacto,cocinero,"gastronomia cocinero cocinero cocinero 5120.1 5120"
41,Gastronomia,"Mozo/Camarero de Salón",camarero,5131.2,5131,exacto,mozo,"gastronomia mozo/camarero de salon camarero mozo 5131.2 5131"
42,Gastronomia,Mucama,"camarero de pisos",9112.4,9112,exacto,mucama,"gastronomia mucama camarero de pisos mucama 9112.4 9112"
43,Gastronomia,"Organizador de Eventos","responsable de eventos",3332.2.1,3332,exacto,"organizador de eventos","gastronomia organizador de eventos responsable de eventos organizador de eventos 3332.2.1 3332"
44,Gastronomia,"Organizador de Operaciones Hoteleras","director de establecimiento de hostelería",1411.1,1411,exacto,"operaciones hoteleras","gastronomia organizador de operaciones hoteleras director de establecimiento de hosteleria operaciones hoteleras 1411.1 1411"
45,Gastronomia,Panadero,panadero,7512.1,7512,exacto,panadero,"gastronomia panadero panadero panadero 7512.1 7512"
46,Gastronomia,Pastelero,pastelero,7512.5,7512,exacto,pastelero,"gastronomia pastelero pastelero pastelero 7512.5 7512"
47,Gastronomia,"Recepcionista de Hotel","recepcionista de alojamientos turísticos",4224.1,4224,exacto,"recepcionista de hotel","gastronomia recepcionista de hotel recepcionista de alojamientos turisticos recepcionista de hotel 4224.1 4224"
48,Textil,"Confeccionista a Medida: Modista/o",modisto/modista,7531.2,7531,exacto,modista,"textil confeccionista a medida: modista/o modisto/modista modista 7531.2 7531"
49,Textil,"Modelista / Patronista","patronista escalador textil",7532.3,7532,exacto,patronista,"textil modelista / patronista patronista escalador textil patronista 7532.3 7532"
50,Textil,"Operador Cortador de Industria Indumentaria","cortador textil",7532.2,7532,exacto,cortador,"textil operador cortador de industria indumentaria cortador textil cortador 7532.2 7532"
51,Textil,"Operador de Máquinas para la Confección","operador de máquinas de coser",8153.1,8153,exacto,costurera,"textil operador de maquinas para la confeccion operador de maquinas de coser costurera 8153.1 8153"
