termino,frecuencia,porcentaje
graduado,755,14.37
secundario completo,488,9.29
médica,463,8.81
médico,346,6.58
medica,323,6.15
estudiante avanzado,307,5.84
contador público,210,4.0
estudiante de,156,2.97
industrial,111,2.11
título universitario,107,2.04
abogado,86,1.64
posgrado,64,1.22
enfermero,40,0.76
sistemas,34,0.65
industrial o,32,0.61
medico,29,0.55
mecánica,29,0.55
de mantenimiento,25,0.48
completo,23,0.44
mecánico o,21,0.4
electrónica,21,0.4
civil,21,0.4
administración de,19,0.36
contador publico,19,0.36
mecánico,18,0.34
universitario en curso,17,0.32
y comercial,17,0.32
sistemas o,16,0.3
electromecánico,15,0.29
alimentos,15,0.29
para fabricas,15,0.29
y médico,15,0.29
enfermera,13,0.25
analista de sistemas,12,0.23
químico,11,0.21
química,11,0.21
recursos humanos,11,0.21
con experiencia,11,0.21
a clientes,11,0.21
o profesional,11,0.21
administración,10,0.19
o afines,10,0.19
mecánico automotriz,10,0.19
o carreras,10,0.19
higiene y,10,0.19
electrónico,10,0.19
a los,10,0.19
título terciario,9,0.17
electricista,9,0.17
civil o,9,0.17
eléctrica,9,0.17
a usuarios,8,0.15
de reservorios,8,0.15
de desarrollo,8,0.15
de materiales,8,0.15
electromecánica,8,0.15
de sistemas,7,0.13
o estudiante,7,0.13
para el,7,0.13
intermedio,7,0.13
maestría,7,0.13
electromecánico o,7,0.13
y la,7,0.13
o licenciatura,7,0.13
especializado,7,0.13
electrónico para,6,0.11
informática,6,0.11
y operativo,6,0.11
comercial,6,0.11
especializado en,6,0.11
comercial para,6,0.11
a domicilio,6,0.11
universitario completo,6,0.11
industrial para,5,0.1
comercio exterior,5,0.1
al equipo,5,0.1
titulo universitario,5,0.1
comercialización,5,0.1
mecánico para,5,0.1
electricista o,5,0.1
para asegurar,5,0.1
agronómica,5,0.1
y tecnología,5,0.1
de farmacia,5,0.1
químico o,5,0.1
sobre nuestros,5,0.1
de laboratorio,5,0.1
y funcional,5,0.1
para que,5,0.1
administración o,4,0.08
y profesional,4,0.08
electromecánico con,4,0.08
afín,4,0.08
y promover,4,0.08
y gestión,4,0.08
superior en,4,0.08
de datos,4,0.08
eléctrica o,4,0.08
de software,4,0.08
alimentos o,4,0.08
