termino,frecuencia,porcentaje
responsabilidad,3040,57.85
comunicación,1397,26.58
compromiso,1068,20.32
organización,972,18.5
trabajo en equipo,840,15.98
liderazgo,720,13.7
planificación,659,12.54
habilidades de comunicación,658,12.52
proactiva,565,10.75
negociación,547,10.41
proactivo,525,9.99
orientación a resultados,463,8.81
organizacion,340,6.47
comunicacion,291,5.54
iniciativa,270,5.14
resolución de problemas,268,5.1
atención al detalle,260,4.95
creatividad,141,2.68
capacidad analítica,122,2.32
habilidades interpersonales,87,1.66
adaptabilidad,84,1.6
negociacion,65,1.24
planificacion,24,0.46
pensamiento crítico,22,0.42
habilidades de comunicacion,7,0.13
resolucion de problemas,5,0.1
atencion al detalle,3,0.06
orientacion a resultados,3,0.06
capacidad analitica,1,0.02
pensamiento critico,1,0.02
