termino,frecuencia,porcentaje,categoria
caba,139,3.989667049368542,ubicacion
time,65,1.8656716417910446,modalidad
norte,58,1.6647531572904706,otro
importante,57,1.6360505166475316,otro
gba,56,1.6073478760045925,ubicacion
personal,55,1.5786452353616531,otro
part,53,1.5212399540757748,modalidad
atencion,53,1.5212399540757748,otro
san,52,1.4925373134328357,otro
cocina,51,1.4638346727898968,otro
rubro,47,1.34902411021814,otro
vendedores,46,1.320321469575201,otro
as,45,1.2916188289322619,otro
operaciones,43,1.2342135476463834,otro
obra,39,1.1194029850746268,otro
publico,38,1.0907003444316876,otro
center,37,1.0619977037887485,otro
sur,36,1.0332950631458095,otro
ayudante,35,1.0045924225028704,otro
control,34,0.975889781859931,otro
cuentas,31,0.8897818599311137,otro
mostrador,31,0.8897818599311137,otro
rosario,30,0.8610792192881744,ubicacion
digital,30,0.8610792192881744,otro
plata,30,0.8610792192881744,otro
presencial,30,0.8610792192881744,modalidad
oeste,30,0.8610792192881744,otro
sueldos,30,0.8610792192881744,otro
avanzado,30,0.8610792192881744,nivel_senioridad
gestion,29,0.8323765786452353,otro
electronico,29,0.8323765786452353,otro
comercio,28,0.8036739380022963,otro
it,27,0.7749712973593571,otro
general,27,0.7749712973593571,otro
exp,27,0.7749712973593571,otro
semi,26,0.7462686567164178,nivel_senioridad
pilar,25,0.7175660160734788,otro
customer,25,0.7175660160734788,otro
administrativa,25,0.7175660160734788,otro
exterior,25,0.7175660160734788,otro
higiene,25,0.7175660160734788,otro
servicios,24,0.6888633754305395,otro
commerce,24,0.6888633754305395,otro
office,24,0.6888633754305395,otro
on,23,0.6601607347876005,otro
estudiante,23,0.6601607347876005,otro
cordoba,23,0.6601607347876005,ubicacion
sociales,23,0.6601607347876005,otro
turno,23,0.6601607347876005,otro
cliente,23,0.6601607347876005,otro
viajes,23,0.6601607347876005,otro
service,23,0.6601607347876005,otro
site,22,0.6314580941446613,otro
desarrollo,22,0.6314580941446613,otro
vendedora,22,0.6314580941446613,otro
liquidacion,21,0.6027554535017221,otro
back,20,0.5740528128587831,otro
medio,20,0.5740528128587831,otro
project,19,0.5453501722158438,otro
obras,19,0.5453501722158438,otro
martin,19,0.5453501722158438,otro
telefonico,19,0.5453501722158438,otro
contenido,19,0.5453501722158438,otro
estudio,19,0.5453501722158438,otro
centro,19,0.5453501722158438,otro
sector,18,0.5166475315729048,otro
copia,18,0.5166475315729048,otro
proyectos,18,0.5166475315729048,otro
comerciales,18,0.5166475315729048,otro
community,18,0.5166475315729048,otro
operarios,18,0.5166475315729048,otro
full,17,0.4879448909299655,otro
engineer,17,0.4879448909299655,rol_tech
civil,17,0.4879448909299655,otro
empleado,17,0.4879448909299655,otro
servicio,16,0.4592422502870264,otro
mercado,16,0.4592422502870264,otro
social,16,0.4592422502870264,otro
fijo,15,0.4305396096440872,otro
alimentos,15,0.4305396096440872,otro
b2b,15,0.4305396096440872,otro
procesos,15,0.4305396096440872,otro
taller,15,0.4305396096440872,otro
talentos,14,0.4018369690011481,otro
gestor,14,0.4018369690011481,otro
prestaciones,14,0.4018369690011481,tecnologia_web
autos,14,0.4018369690011481,otro
salud,14,0.4018369690011481,otro
jornada,14,0.4018369690011481,otro
avellaneda,14,0.4018369690011481,otro
encargada,14,0.4018369690011481,otro
recursos,14,0.4018369690011481,otro
humanos,14,0.4018369690011481,otro
sueldo,14,0.4018369690011481,otro
comisiones,14,0.4018369690011481,otro
mix,13,0.3731343283582089,otro
nunez,13,0.3731343283582089,otro
venta,13,0.3731343283582089,otro
strategist,13,0.3731343283582089,otro
capital,13,0.3731343283582089,ubicacion
interno,13,0.3731343283582089,otro
medicos,13,0.3731343283582089,otro
corporativo,13,0.3731343283582089,otro
constructora,13,0.3731343283582089,otro
analyst,12,0.3444316877152698,rol_general
specialist,12,0.3444316877152698,otro
tecnica,12,0.3444316877152698,otro
equipo,12,0.3444316877152698,soft_skill
designer,12,0.3444316877152698,otro
contact,12,0.3444316877152698,otro
forwarder,12,0.3444316877152698,otro
asesores,12,0.3444316877152698,otro
isidro,12,0.3444316877152698,otro
agencia,12,0.3444316877152698,otro
zarate,12,0.3444316877152698,otro
electrico,12,0.3444316877152698,otro
base,11,0.3157290470723306,otro
inspector,11,0.3157290470723306,otro
nivel,11,0.3157290470723306,otro
industria,11,0.3157290470723306,otro
retiro,11,0.3157290470723306,otro
editor,11,0.3157290470723306,otro
externo,11,0.3157290470723306,otro
ushuaia,11,0.3157290470723306,otro
pesada,11,0.3157290470723306,otro
gas,10,0.28702640642939153,otro
perfil,10,0.28702640642939153,otro
proyectista,10,0.28702640642939153,otro
medicas,10,0.28702640642939153,otro
real,10,0.28702640642939153,otro
estate,10,0.28702640642939153,otro
jefatura,10,0.28702640642939153,otro
pacheco,10,0.28702640642939153,otro
tarde,10,0.28702640642939153,otro
palermo,10,0.28702640642939153,otro
meses,10,0.28702640642939153,otro
makro,10,0.28702640642939153,otro
mayor,10,0.28702640642939153,otro
asuntos,10,0.28702640642939153,otro
bacheros,10,0.28702640642939153,otro
sap,9,0.2583237657864524,otro
ingenieria,9,0.2583237657864524,otro
mesa,9,0.2583237657864524,otro
sales,9,0.2583237657864524,otro
calle,9,0.2583237657864524,otro
construccion,9,0.2583237657864524,otro
modalidad,9,0.2583237657864524,otro
rio,9,0.2583237657864524,otro
techo,9,0.2583237657864524,otro
supply,9,0.2583237657864524,otro
