tier,isco_focus,id_oferta,titulo,isco_antes,esco_antes,isco_despues,esco_despues,esco_code_granular,regla_aplicada,url_admin,resultado,isco_correcto,comentario
1,8160,6381126767,Operario pintor  sobre metal para Metalúrgica,8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=6381126767,,,
1,8160,7941849392,Operarios de Producción,8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=7941849392,,,
1,8160,7650903051,"BU788 Operario de Mecanizado. Autopartista líder, GBA SUR Burzaco",8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=7650903051,,,
1,8160,2177749,Operario de Sala de Máquinas,8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=2177749,,,
1,8160,6737962970,Operario de carga y descarga (por convocatoria),8160,operario de prensado de fruta/operaria de prensado de fruta,9333,mozo de almacén/moza de almacén,9333.8,R353_operario_carga_descarga,https://mol-nextjs.vercel.app/admin/validacion?id=6737962970,,,
1,8160,6984421440,Operario de Encapsulado para cubrir licencia,8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=6984421440,,,
1,8160,5527372163,Operario Resortero Manual,8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=5527372163,,,
1,8160,1118145380,Operario de Maquinaria Industrial,8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=1118145380,,,
1,8160,5445086863,operario/a maquinista,8160,operario de prensado de fruta/operaria de prensado de fruta,9333,mozo de almacén/moza de almacén,9333.8,R353_operario_carga_descarga,https://mol-nextjs.vercel.app/admin/validacion?id=5445086863,,,
1,8160,5159312719,"Operarias para linea de producción, eventual por una semana",8160,operario de prensado de fruta/operaria de prensado de fruta,9329,trabajador de fábrica/trabajadora de fábrica,9329.1,R240_operario_produccion,https://mol-nextjs.vercel.app/admin/validacion?id=5159312719,,,
1,5223,1118131550,Coordinadora de Locales,5223,vendedor especializado en joyería y relojería/vendedora especializada en joyería y relojería,5246,coordinador de restaurante de comida rápida/coordinadora de restaurante de comida rápida,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118131550,,,
1,5223,1118069181,Sommelier - Nordelta,5223,vendedor especializado en gafas y equipos de óptica/vendedora especializada en gafas y equipos de óptica,5131,sumiller/sumillera,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118069181,,,
1,5223,2179959,Personal de Seguridad / Control CABA,5223,vendedor especializado en muebles/vendedora especializada en muebles,5414,escolta,,,https://mol-nextjs.vercel.app/admin/validacion?id=2179959,,,
1,5223,7506202673,Analista Seguros,5223,vendedor especializado en mascotas y comida para mascotas/vendedora especializada en mascotas y comida para mascotas,3321,asesor de seguros/asesora de seguros,,,https://mol-nextjs.vercel.app/admin/validacion?id=7506202673,,,
1,5223,7187197516,Jefe Unidad de Negocios,5223,vendedor especializado en joyería y relojería/vendedora especializada en joyería y relojería,1324,jefe de almacén/jefa de almacén,,,https://mol-nextjs.vercel.app/admin/validacion?id=7187197516,,,
1,5223,6184214788,Supervisor/a comercial,5223,vendedor especializado/vendedora especializada,1420,gerente de supermercado,,,https://mol-nextjs.vercel.app/admin/validacion?id=6184214788,,,
1,5223,1118161383,Encargado Lavadero de autos zona norte,5223,vendedor especializado/vendedora especializada,9122,operario de limpieza de vehículos/operaria de limpieza de vehículos,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118161383,,,
1,5223,1118193994,Jefe/a de Ventas PyME,5223,vendedor especializado/vendedora especializada,1221,director de ventas/directora de ventas,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118193994,,,
1,5223,1117171013,Asistente de Ventas Técnicas para ROSARIO,5223,vendedor especializado/vendedora especializada,4222,agente de centro de atención al cliente,4222.1,R213_asistente_comercial,https://mol-nextjs.vercel.app/admin/validacion?id=1117171013,,,
1,5223,8281711843,Senior SEO Specialist (I-Gaming),5223,asistente de tienda,2513,especialista en optimización de motores de búsqueda,,,https://mol-nextjs.vercel.app/admin/validacion?id=8281711843,,,
1,4311,1118141356,Analista de Cuentas Corrientes,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=1118141356,,,
1,4311,1118200382,Analista Cuentas a Pagar JR,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=1118200382,,,
1,4311,5900999363,Analista de Cuentas a Pagar (Req204381) Eventual,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=5900999363,,,
1,4311,1118238816,Analista Pagó a Proveedores,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=1118238816,,,
1,4311,1118193795,Asesor/a de Cobranzas (Mora Tardía),4311,empleado de contabilidad/empleada de contabilidad,4214,cobrador de deudas/cobradora de deudas,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118193795,,,
1,4311,1118229704,Analista de Cuentas a Pagar(Martinez),4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=1118229704,,,
1,4311,2173201,Analista de Cuentas a Pagar,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=2173201,,,
1,4311,2176618,Analista Administrativo,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=2176618,,,
1,4311,2179585,Analista de Cuentas a Pagar,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=2179585,,,
1,4311,5842516962,REF 21010 Analista Senior de Costos y Contratos,4311,empleado de contabilidad/empleada de contabilidad,2411,analista contable,2411.1.1,R228_analista_contabilidad,https://mol-nextjs.vercel.app/admin/validacion?id=5842516962,,,
1,1349,6108409477,Transferista / APM Comercial – Rubro Cosmética – Zona Sur,1349,editor jefe/editora jefa,1420,Gerente de tienda de cosmética y perfumería,,,https://mol-nextjs.vercel.app/admin/validacion?id=6108409477,,,
1,1349,1118173537,Ingeniero de Producción,1349,director del departamento de laboratorio médico/directora del departamento de laboratorio médico,2141,ingeniero industrial/ingeniera industrial,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118173537,,,
1,1349,1118207621,Ingeniero/Superintendente de Confiabilidad Mantenimiento Mina,1349,director del departamento de laboratorio médico/directora del departamento de laboratorio médico,2149,ingeniero de confiabilidad y seguridad/ingeniera de confiabilidad y seguridad,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118207621,,,
1,1349,1117964610,Team Leader Mora Tardia,1349,director del servicio jurídico/directora del servicio jurídico,3122,supervisor de montaje industrial/supervisora de montaje industrial,,,https://mol-nextjs.vercel.app/admin/validacion?id=1117964610,,,
1,1349,8806272362,Senior Intelligent Automation Engineer,1349,director del departamento de laboratorio médico/directora del departamento de laboratorio médico,2511,ingeniero de inteligencia artificial/ingeniera de inteligencia artificial,,,https://mol-nextjs.vercel.app/admin/validacion?id=8806272362,,,
1,1349,1118198928,Ingeniero Agrónomo liderando Gerencia Regional,1349,director del departamento de laboratorio médico/directora del departamento de laboratorio médico,2132,ingeniero superior agrónomo/ingeniera superior agrónoma,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118198928,,,
1,1349,8785608041,Senior OT/ICS Security Engineer,1349,director del departamento de laboratorio médico/directora del departamento de laboratorio médico,2529,director de seguridad de las TIC/directora de seguridad de las TIC,,,https://mol-nextjs.vercel.app/admin/validacion?id=8785608041,,,
1,1349,1118103917,Promotor Vía Pública - Córdoba,1349,director de servicios para los clientes/directora de servicios para los clientes,5244,teleoperador/teleoperadora,5244.1,R335_promotor_via_publica,https://mol-nextjs.vercel.app/admin/validacion?id=1118103917,,,
1,1349,8846621016,Especialista en Verificación de Seguros,1349,director de centro de salvamento/directora de centro de salvamento,3321,asesor de seguros/asesora de seguros,,,https://mol-nextjs.vercel.app/admin/validacion?id=8846621016,,,
1,1349,1118194653,Ingeniero de Confiabilidad,1349,director del departamento de laboratorio médico/directora del departamento de laboratorio médico,2149,ingeniero de confiabilidad y seguridad/ingeniera de confiabilidad y seguridad,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118194653,,,
1,2431,1118202738,Asistente Dental,2431,planificador de espacios publicitarios en los medios de comunicación/planificadora de espacios publicitarios en los medios de comunicación,2261,odontólogo/odontóloga,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118202738,,,
1,2431,8444617971,Peon de Recoleccion,2431,gestor de las actividades y relaciones de los miembros de una organización/gestora de las actividades y relaciones de los miembros de una organización,9333,mozo de almacén/moza de almacén,9333.8,R353_operario_carga_descarga,https://mol-nextjs.vercel.app/admin/validacion?id=8444617971,,,
1,2431,1118232168,APM / APF - GBA Norte,2431,especialista en marketing en línea,5223,vendedor especializado/vendedora especializada,,,https://mol-nextjs.vercel.app/admin/validacion?id=1118232168,,,
